"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2015,138,7.9,936.66,825209,"PG-13"
"2",2019,181,8.5,858.37,659441,"PG-13"
"3",2009,162,7.8,760.51,1076,"PG-13"
"4",2018,134,7.3,700.06,562765,"PG-13"
"5",2018,149,8.5,678.82,744491,"PG-13"
"6",2015,124,7,652.27,555362,"PG-13"
"7",2012,143,8,623.28,1216,"PG-13"
"8",2017,152,7,620.18,523068,"PG-13"
"9",2018,118,7.7,608.58,224750,"PG"
"10",2008,152,9,534.86,2169,"PG-13"
"11",2016,133,7.8,532.18,517637,"PG-13"
"12",1999,136,6.5,474.54,690993,"PG"
"13",2015,141,7.3,459.01,698492,"PG-13"
"14",2012,164,8.4,448.14,1437,"PG-13"
"15",2019,123,6.9,426.83,392529,"PG-13"
"16",2013,146,7.5,424.67,589034,"PG-13"
"17",2006,151,7.3,423.32,628812,"PG-13"
"18",2018,128,6.2,417.72,239259,"PG-13"
"19",2017,141,7.4,412.56,515480,"PG-13"
"20",2013,130,7.2,409.01,719491,"PG-13"
"21",2016,147,7.8,408.08,619229,"PG-13"
"22",2012,142,7.2,408.01,811714,"PG-13"
"23",2017,119,6.9,404.52,283954,"PG-13"
"24",2002,121,7.3,403.71,658897,"PG-13"
"25",1993,127,8.1,402.45,812607,"PG-13"
"26",2009,150,6,402.11,372591,"PG-13"
"27",2017,136,7.6,389.81,522529,"PG-13"
"28",2019,129,7.6,388.53,260218,"PG-13"
"29",2005,140,7.5,380.26,673086,"PG-13"
"30",2004,127,7.3,373.59,517776,"PG-13"
"31",2016,108,8,363.07,856779,"R"
"32",2015,137,7.2,353.01,344573,"PG-13"
"33",2011,154,6.2,352.39,373610,"PG-13"
"34",2014,133,7.3,350.13,415721,"R"
"35",2014,123,6.6,337.14,391901,"PG-13"
"36",2007,139,6.2,336.53,476567,"PG-13"
"37",2018,143,7,335.06,323451,"PG-13"
"38",2017,133,7.4,334.2,470172,"PG-13"
