"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2018,118,7.7,608.58,224750,"PG"
"2",2019,118,6.9,540.08,160755,"PG"
"3",2016,97,7.3,486.3,224032,"PG"
"4",2004,93,7.2,436.47,397470,"PG"
"5",2019,100,7.9,433.03,150265,"G"
"6",1994,88,8.5,422.78,884120,"G"
"7",2010,103,8.3,415,716379,"G"
"8",2013,102,7.5,400.74,543322,"PG"
"9",2003,100,8.1,380.84,900252,"G"
"10",2016,87,6.5,368.38,172978,"PG"
"11",2013,98,7.3,368.06,354500,"PG"
"12",2015,95,8.2,356.46,565682,"PG"
"13",2016,108,8,341.27,403216,"PG"
"14",2015,91,6.4,336.05,201403,"PG"
"15",2007,93,6,320.71,265893,"PG"
"16",2009,96,8.2,293,880782,"PG"
"17",2001,92,8,289.92,769892,"G"
"18",2018,85,6.3,270.62,42147,"PG"
"19",2016,108,7.1,270.4,123321,"PG"
"20",2013,104,7.3,268.49,303821,"G"
"21",2001,90,7.8,267.67,583196,"PG"
"22",2017,89,6.3,264.62,101699,"PG"
"23",2004,115,8,261.44,625243,"PG"
"24",2014,100,7.8,257.76,312739,"PG"
"25",2010,95,7.6,251.51,478689,"PG"
"26",2016,107,7.6,248.76,242551,"PG"
"27",1999,92,7.9,245.85,497515,"G"
"28",2006,117,7.1,244.08,344521,"G"
"29",2010,93,6.3,238.37,174245,"PG"
"30",2012,93,7.1,237.28,352529,"PG"
"31",2008,98,8.4,223.81,942997,"G"
"32",2014,102,7.8,222.53,387574,"PG"
"33",2009,88,4.5,219.61,40982,"PG"
"34",1991,84,8,218.97,401684,"G"
"35",2010,98,8.1,217.58,632286,"PG"
"36",1992,90,8,217.35,345672,"G"
"37",2007,92,5.2,217.33,72132,"PG"
"38",2012,93,6.8,216.39,153414,"PG"
"39",2008,92,7.5,215.43,396394,"PG"
"40",2012,86,6.4,214.03,92917,"PG"
"41",2017,105,8.4,209.73,318663,"PG"
"42",2007,111,8,206.45,603456,"G"
"43",2018,112,7.1,201.09,111581,"PG"
"44",2010,100,7.7,200.82,381848,"PG"
"45",2009,94,6.4,198.35,140288,"PG"
"46",2006,108,6.4,198,162368,"PG"
"47",2009,94,6.9,196.57,212009,"PG"
"48",2006,91,6.8,195.33,243595,"PG"
"49",2005,86,6.9,193.6,346025,"PG"
"50",1995,81,8.3,191.8,834364,"G"
"51",2011,106,6.1,191.45,147467,"G"
"52",2018,117,8.4,190.24,293436,"PG"
"53",2012,101,7.7,189.42,359858,"PG"
"54",2013,98,7.2,187.17,182152,"PG"
"55",1937,83,7.6,184.93,171094,"G"
"56",2004,100,6.6,183.37,163594,"G"
"57",2007,87,7.3,183.14,299053,"PG-13"
"58",2008,89,6.6,180.01,192666,"PG"
"59",2015,94,6.6,177.4,88069,"PG"
"60",2014,102,7.8,177,289965,"PG"
"61",2002,81,7.5,176.39,418306,"PG"
"62",2017,104,7.3,175.75,123307,"PG"
"63",2017,97,6.3,175,99899,"PG"
"64",1999,88,7.3,171.09,190897,"G"
"65",2015,89,6.7,169.7,98321,"PG"
"66",2018,97,6.3,167.51,48605,"PG"
"67",2011,90,7.2,165.25,238510,"PG"
"68",2015,92,6,162.99,45668,"PG"
"69",1998,95,7.2,162.8,254382,"G"
"70",2012,88,6.6,161.32,182050,"PG"
"71",2004,90,6,160.86,159367,"PG"
"72",2019,104,7.5,160.8,86057,"PG"
"73",2019,86,6.5,158.14,37101,"PG"
"74",1988,104,7.7,156.45,173460,"PG"
"75",2006,83,6.7,155.02,152192,"PG"
"76",2008,86,6.8,154.53,124499,"G"
"77",2016,92,6.5,153.71,65878,"PG"
"78",2017,102,6.7,152.9,65842,"G"
"79",2011,90,6.6,149.26,137627,"PG"
"80",2010,95,7.2,148.42,215394,"PG"
"81",2012,91,7.1,148.31,211657,"PG"
"82",2002,85,7.2,145.79,157098,"PG"
"83",1961,79,7.2,144.88,143831,"G"
"84",2011,96,6.9,143.62,197186,"G"
"85",2016,95,7.1,143.53,123521,"PG"
"86",1967,78,7.6,141.84,156885,"G"
"87",1995,81,6.7,141.6,159502,"G"
"88",2009,96,6.8,137.86,96127,"PG"
"89",2000,82,6.5,137.75,49853,"PG"
"90",2005,81,5.7,135.39,81483,"G"
"91",2011,87,4.3,133.11,29404,"G"
"92",2014,101,6.3,131.54,75054,"G"
"93",2015,88,7.1,130.18,40314,"G"
"94",2005,91,6.3,128.2,126386,"PG"
"95",2007,107,7,127.81,169660,"PG"
"96",2007,91,6.1,126.63,133090,"PG"
"97",2009,90,6.9,124.87,193332,"PG"
"98",2011,107,7.2,123.48,223332,"PG"
"99",2015,93,6.7,123.09,95179,"PG"
"100",1998,88,7.6,120.62,234165,"G"
"101",2013,95,6.4,119.79,84661,"PG"
"102",2009,88,5.1,119.44,40576,"PG"
"103",2008,96,6.8,114.05,180420,"PG"
"104",1989,83,7.6,111.54,223434,"G"
"105",2014,92,6.8,111.51,59140,"PG"
"106",2011,95,5.4,108.09,29653,"PG"
"107",2013,102,6.7,107.52,97078,"PG"
"108",2016,97,6.3,107.51,74813,"PG"
"109",2000,84,7,106.83,169083,"G"
"110",2019,107,6.6,105.81,45180,"PG"
"111",2009,97,7.1,104.4,114969,"G"
"112",2012,97,7.3,103.41,150012,"PG"
"113",1942,70,7.3,102.8,123732,"G"
"114",1998,99,7.1,101.22,111835,"PG"
"115",1998,79,5.9,100.49,17250,"G"
"116",2010,80,4.6,100.25,19506,"PG"
"117",1996,91,6.9,100.14,133168,"G"
"118",2011,84,5.9,99.97,50590,"G"
"119",1997,93,7.3,99.05,191592,"G"
"120",2007,95,6.8,97.82,82691,"G"
"121",2016,89,6.1,97.69,165662,"R"
"122",1955,76,7.3,93.6,114862,"G"
"123",1998,83,6.5,90.76,141777,"PG"
"124",1996,88,6.4,90.46,148323,"PG"
"125",2013,91,5.7,90.29,40791,"PG"
"126",2000,78,7.3,89.3,168183,"G"
"127",1953,77,7.3,87.4,118094,"G"
"128",2017,86,3.2,86.09,51612,"PG"
"129",2015,92,5,85.89,15382,"PG"
"130",1998,96,6.2,85.74,37662,"G"
"131",2004,87,7,85.42,74140,"PG"
"132",2003,85,6.8,85.34,90600,"G"
"133",2006,86,6.1,85.11,81900,"PG"
"134",1950,74,7.3,85,137118,"G"
"135",2017,108,6.7,84.41,43693,"PG"
"136",1940,88,7.4,84.25,122215,"G"
"137",2001,95,6.9,84.05,96589,"PG"
"138",2014,92,6.7,83.35,74933,"PG"
"139",2018,96,6.6,83.24,28797,"PG"
"140",2013,96,6.4,83.03,78251,"PG"
"141",2007,115,6.2,82.16,157537,"PG-13"
"142",2001,82,6,80.94,29073,"G"
"143",2011,107,7.3,77.59,207746,"PG"
"144",2000,78,6.1,76.51,10517,"G"
"145",1940,125,7.8,76.41,84169,"G"
"146",2004,80,5,75.37,75023,"PG"
"147",2009,100,7.7,75.29,184200,"PG"
"148",1993,76,8,75.08,278370,"PG"
"149",1988,74,6.7,74.15,41021,"G"
"150",2017,89,6.2,73.92,23376,"PG"
"151",2006,91,6.6,73.66,93699,"PG"
"152",2002,83,7.1,73.28,60476,"G"
"153",2006,90,5.5,72.78,26050,"PG"
"154",2016,87,6.8,72.68,52573,"PG"
"155",1977,78,6.9,71.22,54541,"G"
"156",2013,105,5.3,71.02,35560,"PG"
"157",2002,77,5.4,64.96,47506,"PG"
"158",2006,85,6.6,64.67,106665,"PG"
"159",2014,85,5.7,64.25,25317,"PG"
"160",2016,94,5.7,64.06,51957,"PG"
"161",2011,100,5.9,64.01,39698,"PG"
"162",1946,94,7.1,63.72,10532,"Approved"
"163",1981,83,7.3,63.46,80035,"G"
"164",1996,81,6.8,63.07,49636,"PG-13"
"165",1999,75,7.2,60.66,33231,"G"
"166",2017,101,6,59.28,20644,"PG"
"167",2014,83,6,59.17,15771,"PG"
"168",2007,85,6.7,58.87,65405,"PG"
"169",2006,87,6.5,58.64,14827,"G"
"170",1997,94,7.1,58.41,106074,"G"
"171",2013,89,5.9,57.01,23802,"PG"
"172",2005,85,7.4,56.11,119687,"G"
"173",2012,92,7,56,89841,"PG"
"174",2013,91,5.9,55.75,21556,"PG"
"175",2010,97,6.9,55.68,75355,"PG"
"176",2007,103,6.2,54.15,59484,"PG"
"177",2005,77,7.3,53.36,230479,"PG"
"178",1999,81,7.7,52.01,186536,"R"
"179",1959,75,7.2,51.6,127730,"G"
"180",2005,80,6.4,51.39,54109,"PG"
"181",2008,93,6.1,50.88,34669,"G"
"182",2000,89,6.9,50.86,78576,"PG"
"183",2014,96,6.8,50.84,52250,"PG"
"184",2014,95,7.3,50.15,61505,"PG"
