"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2014,133,7.3,350.13,415721,"R"
"2",2009,129,7.6,255.96,276189,"PG-13"
"3",2018,134,8,216.43,405923,"PG-13"
"4",2015,156,8,183.64,655600,"R"
"5",2012,150,7.3,182.21,234653,"PG-13"
"6",2017,105,7.6,174.34,213684,"PG"
"7",2001,135,8.2,170.74,799482,"PG-13"
"8",2016,127,7.8,169.61,181567,"PG"
"9",2002,141,8.1,164.62,759426,"PG-13"
"10",2006,117,8,163.57,420098,"PG-13"
"11",1965,172,8,163.21,191983,"G"
"12",2015,147,7.9,161.2,170491,"R"
"13",2010,118,8,138.8,611420,"R"
"14",2012,120,7.7,136.03,549301,"R"
"15",1998,115,6.8,135.03,98705,"PG-13"
"16",2007,157,7.8,130.16,375859,"R"
"17",2000,131,7.3,125.6,164426,"R"
"18",2013,121,7.5,125.1,254192,"R"
"19",2016,96,7.4,125.07,216612,"PG-13"
"20",1987,121,7.3,123.92,119724,"R"
"21",2005,136,7.8,119.52,222417,"PG-13"
"22",2013,180,8.2,116.9,1087,"R"
"23",2013,132,7.2,116.63,104607,"PG-13"
"24",2000,113,7.8,115.65,188985,"PG"
"25",2014,137,7.2,115.64,135720,"PG-13"
"26",2013,134,7.8,107.1,399317,"PG-13"
"27",2004,170,7.5,102.61,317727,"PG-13"
"28",1969,110,8,102.31,193408,"PG"
"29",2009,140,7,97.1,268096,"R"
"30",2010,120,7.7,96.96,586535,"PG-13"
"31",1993,195,8.9,96.9,1141,"R"
"32",2019,121,7.4,96.37,93342,"R"
"33",2013,128,7.5,95,79889,"PG-13"
"34",2009,118,7,94.13,99997,"PG-13"
"35",2010,116,7.8,93.62,324761,"R"
"36",2014,99,5.8,91.44,24817,"PG"
"37",2014,114,8,91.13,642931,"PG-13"
"38",1985,161,7.2,87.1,67439,"PG"
"39",2018,130,8.2,85.08,286108,"PG-13"
"40",1995,99,6.5,84.92,46052,"R"
"41",2018,110,7.3,83.48,12651,"PG"
"42",2013,125,7.5,83.3,145244,"PG-13"
"43",2017,116,7.2,81.9,119114,"PG-13"
"44",2011,133,7.6,75.61,339273,"PG-13"
"45",1995,178,8.3,75.6,917800,"R"
"46",2004,152,7.7,75.33,131539,"PG-13"
"47",1976,138,8,70.6,96109,"PG"
"48",2015,130,7.8,70.26,328405,"R"
"49",1989,145,7.2,70,92713,"R"
"50",2004,136,6.7,67.29,75125,"PG-13"
"51",2005,136,7.3,67.26,117273,"PG-13"
"52",2016,139,8.1,67.21,392947,"R"
"53",1980,124,7.5,67.18,15750,"PG"
"54",2007,102,7,66.66,104650,"R"
"55",2004,135,7.5,64.38,44767,"PG"
"56",2005,125,7,62.66,166118,"R"
