"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2008,152,9,534.86,2169,"PG-13"
"2",2012,164,8.4,448.14,1437,"PG-13"
"3",2013,146,7.5,424.67,589034,"PG-13"
"4",2012,142,7.2,408.01,811714,"PG-13"
"5",1993,127,8.1,402.45,812607,"PG-13"
"6",2015,137,7.2,353.01,344573,"PG-13"
"7",2014,123,6.6,337.14,391901,"PG-13"
"8",2012,143,7.7,304.36,606466,"PG-13"
"9",1999,107,8.1,293.51,869924,"PG-13"
"10",2010,148,8.8,292.58,1918,"PG-13"
"11",2015,137,6.5,281.72,265114,"PG-13"
"12",2011,117,4.9,281.29,213684,"PG-13"
"13",2013,91,7.7,274.09,734213,"PG-13"
"14",1975,124,8,260,522603,"PG"
"15",2007,101,7.2,256.39,652998,"PG-13"
"16",1996,113,6.4,241.72,166352,"PG-13"
"17",2013,130,7.1,238.68,355210,"PG-13"
"18",1984,105,7.3,234.76,153883,"R"
"19",2005,116,6.5,234.28,398490,"PG-13"
"20",2014,132,8,233.92,637598,"PG-13"
"21",2002,106,6.7,227.97,325118,"PG-13"
"22",2007,115,8,227.47,588225,"PG-13"
"23",2017,137,8.1,226.28,598117,"R"
"24",2001,90,6.6,226.16,191196,"PG-13"
"25",2017,136,6.7,226.01,191248,"PG-13"
"26",2018,147,7.8,220.16,261011,"PG-13"
"27",2007,124,6.5,219.96,210518,"PG"
"28",1990,127,7,217.63,185944,"PG-13"
"29",2006,149,6.6,217.54,382714,"PG-13"
"30",2000,123,6.1,215.41,299562,"PG-13"
"31",2003,134,7.4,214.95,493880,"PG-13"
"32",2018,112,6.7,213.52,320748,"PG-13"
"33",2011,130,7.3,209.84,338679,"PG-13"
"34",2011,132,7.4,209.4,439143,"PG-13"
"35",2009,128,7.6,209.03,561339,"PG-13"
"36",2005,140,8.2,206.85,1239,"PG-13"
"37",2001,130,6.3,202.02,290208,"PG-13"
"38",1998,151,6.7,201.57,380868,"PG-13"
"39",2014,123,6.4,200.68,362797,"PG-13"
"40",2015,148,6.8,200.07,364713,"PG-13"
"41",2009,94,6.4,198.35,140288,"PG"
"42",2015,131,7.4,195.04,323925,"PG-13"
"43",2019,122,8.6,192.73,652327,"R"
"44",2017,106,7.9,188.37,499186,"PG-13"
"45",2011,129,7.5,186.85,404010,"PG-13"
"46",2004,124,6.4,186.74,398091,"PG-13"
"47",2005,120,6.5,186.34,430423,"PG-13"
"48",1993,130,7.8,183.88,253260,"PG-13"
"49",2001,116,7.8,183.42,487825,"PG-13"
"50",2000,130,6.4,182.62,150085,"PG-13"
"51",2001,92,5.9,181.17,283338,"PG-13"
"52",1996,110,7.1,180.98,369340,"PG-13"
"53",2001,119,5.7,180.01,204744,"PG-13"
"54",2011,105,7.6,176.76,482140,"PG-13"
"55",2004,108,7.7,176.24,416931,"PG-13"
"56",2017,104,7.7,176.04,441915,"R"
"57",2019,116,6.9,175.01,180572,"R"
"58",2004,131,6.8,173.01,292076,"PG"
"59",1997,124,6.5,172.96,171966,"R"
"60",2019,131,7.5,171.02,220809,"R"
"61",2008,106,6.6,168.37,387210,"PG-13"
"62",2014,149,8.1,167.77,796206,"R"
"63",2006,144,8,167.45,553811,"PG-13"
"64",2015,125,4.1,166.17,286259,"R"
"65",2001,131,6.8,165.09,242795,"R"
"66",2016,123,6.6,162.43,197229,"PG-13"
"67",2002,133,6.1,160.94,196517,"PG-13"
"68",2018,106,6.6,159.34,105412,"R"
"69",2016,122,7.1,158.85,216964,"PG-13"
"70",1993,154,6.8,158.35,110367,"R"
"71",1987,119,6.9,156.65,70742,"R"
"72",2000,130,6.6,155.46,113281,"PG-13"
"73",2015,114,6,155.19,200183,"PG-13"
"74",2009,107,6.6,155.06,250166,"PG-13"
"75",2015,120,8.1,154.06,817882,"R"
"76",1987,100,6.5,153.67,101697,"R"
"77",2009,118,5.8,152.27,194141,"PG-13"
"78",1985,96,6.5,150.42,146572,"R"
"79",1989,114,7.2,147.25,153953,"R"
"80",2017,140,7.4,146.88,212797,"PG-13"
"81",1994,141,7.2,146.28,226697,"R"
"82",2008,90,7.8,145,548375,"PG-13"
"83",2004,115,7.1,144.8,478570,"PG-13"
"84",1992,118,6.7,144.73,150301,"R"
"85",2001,106,6.8,144.53,330661,"PG-13"
"86",2018,113,5.7,143.01,129755,"PG-13"
"87",2002,124,5.9,142.11,168946,"PG-13"
"88",1992,138,7.7,141.34,221480,"R"
"89",1998,98,7,141.15,227527,"PG-13"
"90",1998,120,6.2,140.46,155011,"PG-13"
"91",2018,110,6.2,140.22,160228,"PG-13"
"92",2007,91,6.2,140.13,146239,"PG-13"
"93",2012,92,6.2,139.85,279568,"PG-13"
"94",2003,147,6.6,138.61,217467,"R"
"95",2016,117,7.3,138.29,389645,"PG-13"
"96",2000,82,6.5,137.75,49853,"PG"
"97",2013,112,7.5,137.4,416555,"R"
"98",1996,121,6.6,136.49,113884,"R"
"99",1998,139,5.4,136.31,175978,"PG-13"
"100",2012,120,7.7,136.03,549301,"R"
"101",2007,128,7.1,134.53,378068,"PG-13"
"102",2008,110,6.7,134.51,348237,"R"
"103",1996,136,7.4,134.07,300334,"R"
"104",2006,126,6.9,134.03,315561,"PG-13"
"105",2009,138,6.7,133.38,260502,"PG-13"
"106",2006,151,8.5,132.38,1118,"R"
"107",2002,145,7.6,132.07,483192,"PG-13"
"108",2001,100,5.8,131.14,190702,"PG-13"
"109",1991,118,8.6,130.74,1186,"R"
"110",1998,127,6.6,130.44,147331,"R"
"111",2015,119,6.2,130.18,206459,"PG-13"
"112",2007,157,7.8,130.16,375859,"R"
"113",2014,129,7.7,128.26,563179,"R"
"114",2010,138,8.1,128.01,1050,"R"
"115",2003,107,5.9,127.15,239219,"PG-13"
"116",2011,112,7,127,326081,"PG-13"
"117",1999,128,6.4,126.94,180392,"PG-13"
"118",2014,89,6.4,126.66,417841,"R"
"119",2012,115,6.7,126.37,197151,"R"
"120",2004,125,6.5,125.54,340850,"PG-13"
"121",1997,119,6.5,125.33,173096,"PG-13"
"122",2000,98,5.5,125.31,168851,"PG-13"
"123",2000,147,7.6,124.12,189410,"R"
"124",2013,110,5.8,122.52,168526,"PG-13"
"125",1994,141,6.9,122.19,84600,"PG-13"
"126",1990,135,7.6,122.01,169253,"PG"
"127",1992,129,6.3,121.95,112166,"R"
"128",2002,119,7.9,121.66,486539,"PG-13"
"129",1994,116,7.2,121.25,312942,"R"
"130",1990,113,7.5,119.39,286444,"R"
"131",2002,124,6.4,118.91,99038,"PG-13"
"132",2010,100,6.4,118.31,283699,"PG-13"
"133",1992,127,7,117.73,162072,"R"
"134",2013,115,7.3,117.72,568761,"PG-13"
"135",1990,124,7.2,117.54,322123,"R"
"136",2018,96,5.3,117.45,104316,"R"
"137",2007,122,6.9,117.15,305574,"PG-13"
"138",2003,117,6,116.93,133755,"PG-13"
"139",1999,105,6.5,116.74,68418,"R"
"140",1974,165,6.9,116,36929,"PG"
"141",2007,110,5.2,115.8,214745,"PG-13"
"142",2009,112,7.9,115.65,617892,"R"
"143",2004,108,6.5,114.2,233656,"PG-13"
"144",2012,135,6.7,113.2,274566,"PG-13"
"145",1997,138,7.3,112.23,335232,"R"
"146",1998,132,7.3,111.55,218975,"R"
"147",2019,129,6.7,111.04,180585,"PG-13"
"148",2004,91,5.9,110.36,134858,"PG-13"
"149",1996,149,7.5,108.77,123387,"R"
"150",2007,86,6.3,107.92,212737,"R"
"151",2017,113,7.6,107.83,395922,"R"
"152",2013,102,6.7,107.52,97078,"PG"
"153",2013,134,7.8,107.1,399317,"PG-13"
"154",2010,108,8,106.95,668318,"R"
"155",1995,130,7.2,106.6,228431,"PG-13"
"156",2003,111,7,106.13,329548,"PG-13"
"157",2002,117,7.7,104.45,234216,"R"
"158",2011,83,5.8,104.01,87394,"R"
"159",2018,116,7,103.8,88544,"R"
"160",1990,105,6.1,103.74,54861,"PG"
"161",2010,103,6.5,103.07,314819,"R"
"162",1978,116,5.8,102.92,66897,"PG"
"163",1999,116,6.3,102.71,50557,"R"
"164",2011,158,7.8,102.52,399441,"R"
"165",2008,112,5.2,102.49,145050,"PG-13"
"166",2016,134,7.3,102.47,208315,"R"
"167",2014,113,6.8,102.43,398044,"PG-13"
"168",1993,128,7.2,102.31,87635,"R"
"169",2017,109,6.5,102.09,102099,"R"
"170",2018,121,6.7,102.08,112968,"R"
"171",2000,118,6.5,101.65,251532,"PG-13"
"172",1994,127,7,101.63,97414,"PG"
"173",1991,99,6.3,101.6,47073,"R"
"174",2014,132,7.2,101.53,314101,"R"
"175",1996,115,6.1,101.3,99653,"R"
"176",2014,138,5.8,101.2,234406,"PG-13"
"177",1997,115,6.9,101.12,264422,"R"
"178",2008,118,6.6,101.11,170362,"PG-13"
"179",2004,120,7.5,101.01,343326,"R"
"180",1997,150,7.4,100.92,241924,"PG"
"181",1993,141,6.6,100.77,72504,"PG-13"
"182",2001,136,6.9,100.61,239096,"R"
"183",2016,116,7.9,100.55,547386,"PG-13"
"184",1970,137,6.6,100.49,16464,"G"
"185",2018,105,4.5,100.41,48682,"R"
"186",2011,119,6,100.24,200387,"PG-13"
"187",1995,127,8.6,100.13,1346,"R"
"188",2016,116,7,100.01,325642,"PG-13"
"189",1995,128,7.6,100.01,349638,"R"
"190",2013,119,6.5,98.93,245911,"R"
"191",2010,88,6.3,98.71,147522,"PG-13"
"192",2001,104,7.6,96.52,322117,"PG-13"
"193",2002,112,6.8,96.4,244539,"R"
"194",2012,157,7.4,95.72,258625,"R"
"195",2000,106,7.3,95.01,369502,"PG-13"
"196",2010,118,6.9,94.84,280361,"R"
"197",1998,136,6.7,94.1,161119,"PG-13"
"198",2012,138,7.3,93.77,310888,"R"
"199",2002,124,7.2,93.15,237560,"R"
"200",2010,125,7.5,92.19,332562,"R"
"201",2014,106,6.9,92.17,240772,"PG-13"
"202",1994,119,6.7,92.12,56495,"PG-13"
"203",2017,164,8,92.05,411732,"R"
"204",2017,122,7.5,92.03,330569,"R"
"205",1996,111,7.6,92,113279,"PG-13"
"206",1999,113,5,91.41,68590,"PG-13"
"207",1995,116,7.3,91.4,96175,"R"
"208",2014,114,8,91.13,642931,"PG-13"
"209",2002,92,5.5,91.05,125799,"PG-13"
"210",2000,130,6.4,90.46,70707,"PG-13"
"211",2010,111,7,90.38,277578,"PG-13"
"212",2003,138,7.9,90.14,399173,"R"
"213",2005,98,6.3,89.71,146897,"PG-13"
"214",2014,108,6,89.26,170681,"PG-13"
"215",2016,88,7.1,89.22,200235,"R"
"216",1974,170,4.7,89,1207,"PG"
"217",2006,129,7.6,88.51,321818,"R"
"218",1992,110,6.6,88.04,35954,"R"
"219",1999,113,6.3,87.7,102858,"PG-13"
"220",2016,127,6.7,87.24,147094,"PG-13"
"221",1990,127,6.9,86.3,35561,"R"
"222",2016,128,7.3,86.26,243874,"R"
"223",2019,122,7.3,85.71,186312,"PG-13"
"224",1986,137,8.3,85.16,621071,"R"
"225",2012,103,6.6,85.02,283338,"R"
"226",1972,117,7.1,84.56,38888,"PG"
"227",2014,99,5.4,84.27,131876,"R"
"228",1993,113,6.4,84.05,114678,"R"
"229",1998,121,7,83.9,97682,"PG-13"
"230",2013,106,6.6,83.59,146864,"PG-13"
"231",1992,103,6.5,83.36,72794,"R"
"232",1992,117,6.9,83.29,97340,"R"
"233",2008,121,7.1,83.08,219139,"PG-13"
"234",1994,128,6.1,83.02,44043,"R"
"235",1988,132,8.2,83.01,747660,"R"
"236",2002,117,6.7,82.35,191933,"R"
"237",2017,116,7.2,81.9,119114,"PG-13"
"238",2015,131,6.3,81.7,208680,"PG-13"
