"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2017,141,7.4,412.56,515480,"PG-13"
"2",2014,133,7.3,350.13,415721,"R"
"3",1998,169,8.6,216.54,1159,"R"
"4",1939,238,8.1,198.68,272840,"Passed"
"5",2001,183,6.2,198.54,300198,"PG-13"
"6",2017,106,7.9,188.37,499186,"PG-13"
"7",2012,150,7.3,182.21,234653,"PG-13"
"8",2012,158,7.6,148.81,294501,"PG-13"
"9",1986,120,8.1,138.53,362693,"R"
"10",2013,121,7.5,125.1,254192,"R"
"11",1987,121,7.3,123.92,119724,"R"
"12",1998,88,7.6,120.62,234165,"G"
"13",2009,153,8.3,120.54,1179,"R"
"14",2004,122,7.5,119.19,123858,"R"
"15",2002,124,6.4,118.91,99038,"PG-13"
"16",2014,137,7.2,115.64,135720,"PG-13"
"17",2000,165,7.2,113.33,243870,"R"
"18",1965,197,8,111.72,66347,"PG-13"
"19",2003,154,7.7,111.11,380323,"R"
"20",2008,107,7,110.52,362161,"R"
"21",2001,144,7.7,108.64,349248,"R"
"22",2003,154,7.2,95.64,134933,"R"
"23",2003,138,7.4,93.93,193568,"PG-13"
"24",1995,116,7.3,91.4,96175,"R"
"25",2014,114,8,91.13,642931,"PG-13"
"26",2014,134,7.6,85.82,398890,"R"
"27",1981,106,6.9,85.3,61431,"R"
"28",1979,147,8.4,83.47,570399,"R"
"29",2008,121,7.1,83.08,219139,"PG-13"
"30",1970,116,7.5,81.6,64809,"R"
"31",2010,108,6.3,80.01,132432,"PG-13"
"32",2011,146,7.2,79.88,140421,"PG-13"
"33",1996,162,7.4,78.65,170426,"R"
"34",2002,138,7.1,78.12,124615,"R"
"35",2014,118,6.1,78.03,120107,"PG-13"
"36",2000,116,6.6,77.09,74033,"PG-13"
"37",2008,120,7,75.75,248469,"PG-13"
"38",1995,178,8.3,75.6,917800,"R"
"39",1992,112,7.7,75.51,140773,"R"
"40",2012,110,6.5,70.01,64583,"R"
"41",1989,145,7.2,70,92713,"R"
"42",1980,109,6.2,69.85,22339,"R"
"43",2005,124,6,68.67,88605,"PG-13"
"44",2016,139,8.1,67.21,392947,"R"
"45",1994,133,7.6,66.64,138726,"R"
"46",2005,125,7,62.66,166118,"R"
"47",1970,172,7.9,61.7,90234,"GP"
"48",2000,128,6.4,61.34,42828,"R"
"49",1999,114,7.1,60.65,155487,"R"
"50",2012,101,6.5,60.46,97018,"PG-13"
