"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",1997,194,7.8,659.33,991296,"PG-13"
"2",2017,129,7.1,504.01,253099,"PG"
"3",2004,93,7.2,436.47,397470,"PG"
"4",2019,128,7,354.87,182034,"PG"
"5",1994,142,8.8,330.25,1686,"PG-13"
"6",2010,124,5,300.53,217257,"PG-13"
"7",2009,130,4.7,296.62,254370,"PG-13"
"8",2012,115,5.5,292.3,220521,"PG-13"
"9",2011,117,4.9,281.29,213684,"PG-13"
"10",2004,115,6.3,279.26,243428,"PG-13"
"11",2002,95,6.5,241.44,115749,"PG"
"12",2014,97,7,241.41,325555,"PG"
"13",2010,93,6.3,238.37,174245,"PG"
"14",2000,143,7.8,233.63,490211,"PG-13"
"15",1991,84,8,218.97,401684,"G"
"16",2005,187,7.2,218.08,376180,"PG-13"
"17",1990,127,7,217.63,185944,"PG-13"
"18",1992,90,8,217.35,345672,"G"
"19",2018,136,7.7,215.29,295087,"R"
"20",2005,119,6.9,209.22,321087,"R"
"21",2015,105,6.9,201.15,150083,"PG"
"22",2010,100,7.7,200.82,381848,"PG"
"23",1939,238,8.1,198.68,272840,"Passed"
"24",2001,183,6.2,198.54,300198,"PG-13"
"25",2006,108,6.4,198,162368,"PG"
"26",2008,122,5.2,191.47,404266,"PG-13"
"27",1978,110,7.2,188.76,221216,"PG-13"
"28",1937,83,7.6,184.93,171094,"G"
"29",2000,127,6.4,182.81,184630,"PG-13"
"30",2005,118,6.6,179.5,284970,"PG-13"
"31",1990,119,7,178.41,270886,"R"
"32",1982,116,7.4,177.2,92040,"PG"
"33",1998,119,7.1,176.48,280475,"R"
"34",2018,120,6.9,174.53,117979,"PG-13"
"35",2003,97,6.9,173.4,206788,"PG"
"36",1999,88,7.3,171.09,190897,"G"
"37",2011,125,6.8,169.11,256548,"R"
"38",2000,108,7,166.24,299276,"PG-13"
"39",2015,125,4.1,166.17,286259,"R"
"40",1991,143,6.9,165.5,170726,"PG-13"
"41",2009,108,6.7,163.96,281160,"PG-13"
"42",1965,172,8,163.21,191983,"G"
"43",1996,139,7.3,153.95,229128,"R"
"44",2008,145,5.6,152.65,112476,"R"
"45",1999,116,5.5,152.26,89288,"PG"
"46",2016,128,8,151.1,463048,"PG-13"
"47",2012,158,7.6,148.81,294501,"PG-13"
"48",2007,129,6.9,148.73,338756,"R"
"49",1997,139,7.7,148.48,261684,"PG-13"
"50",2010,98,5.5,148.38,102039,"PG-13"
"51",2013,143,7.2,144.84,449491,"PG-13"
"52",2008,108,6.4,144.13,202090,"PG-13"
"53",1995,81,6.7,141.6,159502,"G"
"54",2008,120,8,141.32,766287,"R"
"55",1998,120,6.2,140.46,155011,"PG-13"
"56",1997,126,8.3,138.43,801970,"R"
"57",2006,107,6.4,137.36,291758,"PG-13"
"58",1998,115,6.8,135.03,98705,"PG-13"
"59",2012,122,7.7,132.09,635594,"R"
"60",1982,124,7,129.8,45966,"R"
"61",1996,95,5.6,128.81,105014,"PG-13"
"62",1988,116,7,128.15,153528,"R"
"63",2000,120,7.8,128.08,244745,"PG-13"
"64",2007,107,7,127.81,169660,"PG"
"65",2008,166,7.8,127.51,556508,"PG-13"
"66",2002,108,6.2,127.22,98085,"PG-13"
"67",1997,105,6.3,127.12,121732,"PG-13"
"68",2016,110,6.2,126.64,155758,"PG-13"
"69",1993,105,6.8,126.53,150182,"PG"
"70",2002,96,5.8,126.29,130500,"PG-13"
"71",2012,104,6.8,125.01,177521,"PG-13"
"72",2014,126,7.7,124.87,325929,"PG-13"
"73",2003,128,6.7,124.73,106608,"PG-13"
"74",2000,106,4.4,123.31,46719,"PG-13"
"75",1992,129,6.3,121.95,112166,"R"
"76",2004,99,6.8,120.91,312180,"PG-13"
"77",2018,114,6.7,120.63,68253,"PG-13"
"78",2008,88,5.7,120.15,60674,"PG-13"
"79",2007,115,5.9,120.06,135881,"PG-13"
"80",2005,136,7.8,119.52,222417,"PG-13"
"81",2007,117,6.6,118.87,115443,"PG"
"82",2006,106,5.8,118.7,120344,"PG-13"
"83",1999,124,7.1,116.09,255499,"PG-13"
"84",1998,119,6.6,115.82,183299,"PG"
"85",1986,113,6,115.1,68039,"PG"
"86",1988,104,7.3,114.97,186573,"PG"
"87",2017,118,4.6,114.38,85690,"R"
"88",2009,120,6.5,112.74,82964,"R"
"89",1965,197,8,111.72,66347,"PG-13"
"90",1989,83,7.6,111.54,223434,"G"
"91",2010,125,5.7,110.49,109172,"PG-13"
"92",2003,97,6.1,110.23,118663,"PG"
"93",2015,125,6.2,110.21,124808,"R"
"94",2008,99,6,110.1,84646,"PG"
"95",2005,116,7.1,109.45,375590,"R"
"96",2001,111,6.3,108.25,120600,"G"
"97",2000,109,6.2,106.81,176561,"PG-13"
"98",1993,117,5.9,106.61,58947,"R"
"99",1970,100,6.9,106.4,28188,"PG"
"100",2003,116,6.4,105.81,197648,"PG-13"
"101",2010,140,6.6,105.27,244924,"PG-13"
"102",1997,92,5.4,105.26,67657,"PG"
"103",1967,106,8,104.95,243891,"PG"
"104",1996,123,6.4,104.64,72328,"PG"
"105",2009,97,7.1,104.4,114969,"G"
"106",1990,105,6.1,103.74,54861,"PG"
"107",2011,117,6.4,103.03,208800,"PG-13"
"108",1977,111,7.4,102,11766,"PG"
"109",2014,138,5.8,101.2,234406,"PG-13"
"110",2001,136,6.9,100.61,239096,"R"
"111",2018,105,4.5,100.41,48682,"R"
"112",1998,123,7.1,100.32,206206,"R"
"113",2011,92,5.6,100.29,185849,"R"
"114",1996,91,6.9,100.14,133168,"G"
"115",2016,116,7,100.01,325642,"PG-13"
"116",2011,84,5.9,99.97,50590,"G"
"117",1997,93,7.3,99.05,191592,"G"
"118",2010,88,6.3,98.71,147522,"PG-13"
"119",2008,104,6.8,97.69,319442,"PG-13"
"120",2001,96,6.3,96.52,172593,"PG-13"
"121",2007,102,4,95.67,64992,"PG-13"
"122",2003,154,7.2,95.64,134933,"R"
"123",1981,97,6.9,95.46,24567,"PG"
"124",2010,146,4.5,95.35,71122,"R"
"125",2004,113,5.8,95.17,70070,"G"
"126",1983,95,6.2,94.9,44479,"R"
"127",2008,91,3.8,94.51,21650,"PG"
"128",2009,118,7,94.13,99997,"PG-13"
"129",1998,136,6.7,94.1,161119,"PG-13"
"130",2002,105,5.2,94.01,80909,"PG-13"
"131",2009,129,6.4,93.95,154023,"PG-13"
"132",2001,102,5.7,93.61,53161,"PG-13"
"133",1955,76,7.3,93.6,114862,"G"
"134",2002,101,6.1,93.35,101242,"PG-13"
"135",1989,95,7.6,92.82,183619,"R"
"136",2012,122,6.6,91.55,41930,"PG-13"
"137",1986,96,6.6,91.26,26387,"PG-13"
"138",2001,112,6.2,91.06,55072,"PG-13"
"139",2008,112,4.7,90.56,54791,"G"
"140",1991,105,6.5,89.33,65110,"PG"
"141",2009,96,6.4,88.92,195309,"R"
"142",2006,97,5.6,88.72,69310,"PG-13"
"143",2004,90,6,88.1,121274,"PG-13"
"144",1999,113,6.3,87.7,102858,"PG-13"
"145",1985,161,7.2,87.1,67439,"PG"
"146",1989,116,6.8,86.89,45830,"R"
"147",1950,74,7.3,85,137118,"G"
"148",2014,97,4.9,84.53,45691,"R"
"149",2011,118,7.4,84.35,448911,"PG-13"
"150",2014,109,6,83.91,125976,"PG-13"
"151",2009,109,7.4,83.82,307235,"R"
"152",1989,117,7.3,83.76,43789,"PG"
"153",2011,110,6,83.5,156031,"R"
"154",2005,134,7.7,83.04,308352,"R"
"155",2005,101,5.5,82.93,53926,"PG-13"
"156",2005,95,4.7,82.67,27856,"PG"
"157",1978,101,6.9,81.64,17449,"PG"
"158",1995,103,6.7,81.06,86885,"PG"
"159",2004,123,7.8,81,490754,"PG-13"
"160",1987,102,7.1,80.64,45767,"PG"
"161",2010,133,5.8,80.57,81805,"PG-13"
"162",1971,181,8,80.5,36618,"G"
"163",2011,102,5.2,80.36,54333,"PG"
"164",2008,99,6.1,80.28,160203,"PG-13"
"165",1998,97,6.8,80.25,128468,"PG-13"
"166",1984,107,6.6,80.04,65741,"PG"
"167",2010,108,6.3,80.01,132432,"PG-13"
"168",1976,139,6.1,80,9222,"R"
"169",2009,102,4.4,79.57,37928,"G"
"170",1998,114,6.7,78.69,109455,"PG-13"
"171",1996,162,7.4,78.65,170426,"R"
"172",1988,104,5.9,78.22,76111,"R"
"173",2004,128,7.3,77.87,379807,"PG-13"
"174",2008,111,6.1,76.81,148202,"PG-13"
"175",1995,106,6,76.59,32451,"PG"
"176",1984,106,6.9,76.57,78164,"PG"
"177",2000,78,6.1,76.51,10517,"G"
"178",1985,106,6.1,75.97,48142,"PG"
"179",2000,125,6.8,75.79,99528,"PG-13"
"180",2006,110,5.6,75.63,76193,"PG-13"
"181",1992,112,7.7,75.51,140773,"R"
"182",1998,169,6.6,75.38,37501,"PG-13"
"183",1979,122,6.1,74.87,14425,"Approved"
"184",1991,132,6.7,74.79,15105,"R"
"185",1998,102,5.8,74.33,69967,"PG-13"
"186",2019,116,6.9,73.29,76565,"PG-13"
"187",1964,170,7.8,72,82265,"G"
"188",1990,104,5.4,71.61,21429,"PG"
"189",2001,97,6.7,71.54,213799,"R"
"190",1995,135,7.6,71.52,67985,"PG-13"
"191",2000,121,7.2,71.51,171780,"PG-13"
"192",2004,127,7.5,71.5,173039,"R"
"193",2009,105,7,71.44,188721,"R"
"194",2013,115,6.7,71.35,99757,"PG-13"
"195",1993,101,8,70.91,554516,"PG"
"196",2001,114,5.9,70.84,123107,"PG-13"
"197",2011,108,6.2,70.66,203124,"R"
"198",2008,112,5.7,70.23,70200,"PG-13"
"199",1993,103,7,70.17,41059,"PG-13"
"200",1992,117,5.5,70.1,24483,"R"
"201",1995,101,6.7,69.87,23047,"PG-13"
