"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2018,118,7.7,608.58,224750,"PG"
"2",2016,97,7.3,486.3,224032,"PG"
"3",2004,93,7.2,436.47,397470,"PG"
"4",2019,100,7.9,433.03,150265,"G"
"5",2010,103,8.3,415,716379,"G"
"6",2017,119,6.9,404.52,283954,"PG-13"
"7",2013,102,7.5,400.74,543322,"PG"
"8",2017,136,7.6,389.81,522529,"PG-13"
"9",2003,100,8.1,380.84,900252,"G"
"10",2016,87,6.5,368.38,172978,"PG"
"11",2013,98,7.3,368.06,354500,"PG"
"12",2016,108,8,363.07,856779,"R"
"13",2015,95,8.2,356.46,565682,"PG"
"14",2016,108,8,341.27,403216,"PG"
"15",2015,91,6.4,336.05,201403,"PG"
"16",2014,121,8,333.18,993608,"PG-13"
"17",2018,119,7.7,324.59,435172,"R"
"18",2007,93,6,320.71,265893,"PG"
"19",2017,130,7.9,315.06,531514,"PG-13"
"20",2009,96,8.2,293,880782,"PG"
"21",2001,92,8,289.92,769892,"G"
"22",1990,103,7.6,285.76,439567,"PG"
"23",2004,115,6.3,279.26,243428,"PG-13"
"24",2009,100,7.7,277.32,688115,"R"
"25",2016,108,7.1,270.4,123321,"PG"
"26",2013,104,7.3,268.49,303821,"G"
"27",2001,90,7.8,267.67,583196,"PG"
"28",2017,89,6.3,264.62,101699,"PG"
"29",2000,104,6.1,260.04,193604,"PG"
"30",2014,100,7.8,257.76,312739,"PG"
"31",2011,102,6.4,254.46,444742,"R"
"32",2010,95,7.6,251.51,478689,"PG"
"33",2006,108,6.4,250.86,297525,"PG"
"34",1997,98,7.3,250.69,493170,"PG-13"
"35",2016,107,7.6,248.76,242551,"PG"
"36",1999,92,7.9,245.85,497515,"G"
"37",2006,117,7.1,244.08,344521,"G"
"38",2003,101,6.7,242.83,355739,"PG-13"
"39",2002,95,6.5,241.44,115749,"PG"
"40",1984,105,7.8,238.63,337135,"PG"
"41",2010,93,6.3,238.37,174245,"PG"
"42",2012,93,7.1,237.28,352529,"PG"
"43",1984,105,7.3,234.76,153883,"R"
"44",2001,90,6.6,226.16,191196,"PG-13"
"45",2009,88,4.5,219.61,40982,"PG"
"46",1993,125,7,219.2,230799,"PG-13"
"47",2012,106,6.9,218.82,550645,"R"
"48",1992,90,8,217.35,345672,"G"
"49",2007,92,5.2,217.33,72132,"PG"
"50",2018,118,7.1,216.65,275567,"PG-13"
"51",2012,93,6.8,216.39,153414,"PG"
"52",2008,92,7.5,215.43,396394,"PG"
"53",2002,94,6.2,213.31,188616,"PG-13"
"54",1985,116,8.5,210.61,978755,"PG"
"55",2005,119,6.9,209.22,321087,"R"
"56",2005,115,6.6,206.46,402899,"PG"
"57",2007,111,8,206.45,603456,"G"
"58",1999,95,6.6,206.04,208997,"PG-13"
"59",2018,112,7.1,201.09,111581,"PG"
"60",2010,100,7.7,200.82,381848,"PG"
"61",2009,94,6.4,198.35,140288,"PG"
"62",2006,108,6.4,198,162368,"PG"
"63",2009,94,6.9,196.57,212009,"PG"
"64",2006,91,6.8,195.33,243595,"PG"
"65",2005,86,6.9,193.6,346025,"PG"
"66",1995,81,8.3,191.8,834364,"G"
"67",2014,112,7,191.72,330064,"R"
"68",2011,106,6.1,191.45,147467,"G"
"69",2014,101,5.8,191.2,195271,"PG-13"
"70",2002,88,6.2,190.42,326976,"PG-13"
"71",2012,101,7.7,189.42,359858,"PG"
"72",2013,98,7.2,187.17,182152,"PG"
"73",2005,120,6.5,186.34,430423,"PG-13"
"74",2015,115,6.4,184.3,135365,"PG-13"
"75",2004,100,6.6,183.37,163594,"G"
"76",2007,87,7.3,183.14,299053,"PG-13"
"77",2000,127,6.4,182.81,184630,"PG-13"
"78",1997,86,6.9,181.41,268075,"PG-13"
"79",2015,117,7.3,180.2,532141,"PG-13"
"80",2008,89,6.6,180.01,192666,"PG"
"81",2005,118,6.6,179.5,284970,"PG-13"
"82",2012,106,6.8,179.02,321811,"PG-13"
"83",1990,119,7,178.41,270886,"R"
"84",2015,94,6.6,177.4,88069,"PG"
"85",2009,105,6,177.24,167129,"PG"
"86",1982,116,7.4,177.2,92040,"PG"
"87",1998,119,7.1,176.48,280475,"R"
"88",2002,81,7.5,176.39,418306,"PG"
"89",2017,104,7.3,175.75,123307,"PG"
"90",2017,97,6.3,175,99899,"PG"
"91",1986,97,6.6,174.64,87810,"PG-13"
"92",2018,120,6.9,174.53,117979,"PG-13"
"93",1992,120,6.7,173.59,282287,"PG"
"94",2003,97,6.9,173.4,206788,"PG"
"95",2018,130,6.8,171.96,67243,"PG"
"96",2002,113,7.1,170.69,206744,"PG-13"
"97",2015,89,6.7,169.7,98321,"PG"
"98",2011,125,6.8,169.11,256548,"R"
"99",2007,100,5.8,168.27,111205,"PG-13"
"100",1987,102,6,167.78,44738,"PG"
"101",2018,97,6.3,167.51,48605,"PG"
"102",2000,108,7,166.24,299276,"PG-13"
"103",2011,90,7.2,165.25,238510,"PG"
"104",2009,108,6.7,163.96,281160,"PG-13"
"105",1999,93,6.4,163.48,190468,"PG-13"
"106",2015,92,6,162.99,45668,"PG"
"107",1998,95,7.2,162.8,254382,"G"
"108",2010,102,5.9,162,217382,"PG-13"
"109",1998,90,6.1,161.49,142130,"PG-13"
"110",2012,88,6.6,161.32,182050,"PG"
"111",2004,90,6,160.86,159367,"PG"
"112",1973,129,8.3,159.6,228382,"PG"
"113",2013,117,6.6,159.58,156815,"R"
"114",2019,86,6.5,158.14,37101,"PG"
"115",2005,113,6.4,158.12,155004,"PG-13"
"116",2000,88,6.2,157.02,221754,"R"
"117",1988,104,7.7,156.45,173460,"PG"
"118",2006,83,6.7,155.02,152192,"PG"
"119",2008,86,6.8,154.53,124499,"G"
"120",1996,139,7.3,153.95,229128,"R"
"121",2016,92,6.5,153.71,65878,"PG"
"122",1987,100,6.5,153.67,101697,"R"
"123",2002,86,5,153.29,91746,"PG"
"124",2017,102,6.7,152.9,65842,"G"
"125",2008,145,5.6,152.65,112476,"R"
"126",1999,116,5.5,152.26,89288,"PG"
"127",2016,128,8,151.1,463048,"PG-13"
"128",2013,110,7,150.39,383596,"R"
"129",2015,96,6.2,150.36,101802,"PG-13"
"130",2014,97,6.3,150.16,273634,"R"
"131",2011,90,6.6,149.26,137627,"PG"
"132",2007,129,6.9,148.73,338756,"R"
"133",1997,139,7.7,148.48,261684,"PG-13"
"134",2010,95,7.2,148.42,215394,"PG"
"135",2010,98,5.5,148.38,102039,"PG-13"
"136",2012,91,7.1,148.31,211657,"PG"
"137",2006,108,6.6,148.21,159381,"PG-13"
"138",1984,106,7.3,148.17,186283,"PG"
"139",1994,141,7.2,146.28,226697,"R"
"140",2002,85,7.2,145.79,157098,"PG"
"141",2001,108,6.4,145.1,230587,"R"
"142",1961,79,7.2,144.88,143831,"G"
"143",1994,97,6.5,144.83,90461,"PG"
"144",1998,85,5.4,144.16,88111,"PG-13"
"145",2008,108,6.4,144.13,202090,"PG-13"
"146",2019,104,6.6,144.11,112788,"PG"
"147",2011,96,6.9,143.62,197186,"G"
"148",2016,95,7.1,143.53,123521,"PG"
"149",2007,96,7.4,143.5,475082,"PG-13"
"150",2008,115,7.1,143.15,140360,"PG"
"151",2011,103,5.4,142.61,79764,"PG"
"152",1998,98,7,141.15,227527,"PG-13"
"153",2019,132,7.1,140.37,213025,"PG-13"
"154",2018,110,6.2,140.22,160228,"PG-13"
"155",2007,91,6.2,140.13,146239,"PG-13"
"156",1989,93,5.9,140.09,74359,"PG-13"
"157",1999,84,5.9,140.04,119492,"PG"
"158",1975,100,7.4,139.88,125702,"R"
"159",1992,100,6.4,139.61,82011,"PG"
"160",2002,104,5.6,139.24,47513,"G"
"161",2003,98,5.9,138.61,89343,"PG"
"162",2003,147,6.6,138.61,217467,"R"
"163",2012,109,7.2,138.45,490454,"R"
"164",2006,107,6.4,137.36,291758,"PG-13"
"165",1996,103,5.7,136.19,96082,"G"
"166",2003,106,6.2,135.65,196371,"PG-13"
"167",2005,81,5.7,135.39,81483,"G"
"168",2019,161,7.7,135.37,365292,"R"
"169",1990,93,6.8,135.27,80955,"PG"
"170",1998,115,6.8,135.03,98705,"PG-13"
"171",2014,99,6.2,134.94,97545,"PG-13"
"172",2013,111,5.7,134.51,119030,"R"
"173",2013,101,5.4,133.67,133210,"PG-13"
"174",2011,87,4.3,133.11,29404,"G"
"175",2003,105,5.6,132.72,33913,"PG-13"
"176",2012,122,7.7,132.09,635594,"R"
"177",2014,101,6.3,131.54,75054,"G"
"178",1989,93,6.3,130.72,134765,"PG"
"179",1994,91,4.9,130.51,72403,"PG"
"180",2008,110,6.5,130.32,195067,"PG-13"
"181",2015,88,7.1,130.18,40314,"G"
"182",1996,95,5.6,128.81,105014,"PG-13"
"183",2006,84,7.3,128.51,339732,"R"
"184",2016,116,5.2,128.34,194680,"PG-13"
"185",2014,129,7.7,128.26,563179,"R"
"186",2005,91,6.3,128.2,126386,"PG"
"187",1988,116,7,128.15,153528,"R"
"188",2014,125,5.9,128,126782,"PG"
"189",2007,107,7,127.81,169660,"PG"
"190",2016,107,6.3,127.44,147434,"PG-13"
"191",2013,119,6.3,127.35,161116,"PG-13"
"192",2002,108,6.2,127.22,98085,"PG-13"
"193",1994,107,7.3,127.18,338132,"PG-13"
"194",1997,105,6.3,127.12,121732,"PG-13"
"195",1977,96,7,126.74,42411,"PG"
"196",2007,91,6.1,126.63,133090,"PG"
"197",1993,105,6.8,126.53,150182,"PG"
"198",2002,96,5.8,126.29,130500,"PG-13"
"199",1998,103,8.1,125.62,872485,"PG"
"200",2000,98,5.5,125.31,168851,"PG-13"
"201",2009,90,6.9,124.87,193332,"PG"
