"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2008,152,9,534.86,2169,"PG-13"
"2",2016,108,8,341.27,403216,"PG"
"3",1984,105,7.3,234.76,153883,"R"
"4",2001,90,6.6,226.16,191196,"PG-13"
"5",2002,94,6.2,213.31,188616,"PG-13"
"6",2009,128,7.6,209.03,561339,"PG-13"
"7",1999,95,6.6,206.04,208997,"PG-13"
"8",2019,122,8.6,192.73,652327,"R"
"9",2014,112,7,191.72,330064,"R"
"10",2011,129,7.5,186.85,404010,"PG-13"
"11",2005,120,6.5,186.34,430423,"PG-13"
"12",1993,130,7.8,183.88,253260,"PG-13"
"13",2001,116,7.8,183.42,487825,"PG-13"
"14",1992,120,6.7,173.59,282287,"PG"
"15",2019,131,7.5,171.02,220809,"R"
"16",2002,113,7.1,170.69,206744,"PG-13"
"17",2001,131,6.8,165.09,242795,"R"
"18",2002,141,8.1,164.62,759426,"PG-13"
"19",1992,126,7,162.83,261680,"PG-13"
"20",1973,129,8.3,159.6,228382,"PG"
"21",2013,117,6.6,159.58,156815,"R"
"22",2005,113,6.4,158.12,155004,"PG-13"
"23",1988,104,7.7,156.45,173460,"PG"
"24",1987,100,6.5,153.67,101697,"R"
"25",2013,110,7,150.39,383596,"R"
"26",2013,138,7.2,150.12,429483,"R"
"27",1989,114,7.2,147.25,153953,"R"
"28",2004,115,7.1,144.8,478570,"PG-13"
"29",1992,118,6.7,144.73,150301,"R"
"30",2001,106,6.8,144.53,330661,"PG-13"
"31",2011,96,6.9,143.62,197186,"G"
"32",1998,98,7,141.15,227527,"PG-13"
"33",2018,110,6.2,140.22,160228,"PG-13"
"34",2007,91,6.2,140.13,146239,"PG-13"
"35",1992,100,6.4,139.61,82011,"PG"
"36",2003,147,6.6,138.61,217467,"R"
"37",2012,109,7.2,138.45,490454,"R"
"38",1999,189,8.6,136.8,1066,"R"
"39",1996,121,6.6,136.49,113884,"R"
"40",1996,103,5.7,136.19,96082,"G"
"41",1972,175,9.2,134.97,1506,"R"
"42",2014,99,6.2,134.94,97545,"PG-13"
"43",2008,110,6.7,134.51,348237,"R"
"44",2013,111,5.7,134.51,119030,"R"
"45",2006,151,8.5,132.38,1118,"R"
"46",2002,145,7.6,132.07,483192,"PG-13"
"47",1991,118,8.6,130.74,1186,"R"
"48",1998,127,6.6,130.44,147331,"R"
"49",2007,157,7.8,130.16,375859,"R"
"50",2016,107,6.3,127.44,147434,"PG-13"
"51",2003,107,5.9,127.15,239219,"PG-13"
"52",2004,125,6.5,125.54,340850,"PG-13"
"53",2000,98,5.5,125.31,168851,"PG-13"
"54",2000,147,7.6,124.12,189410,"R"
"55",1994,141,6.9,122.19,84600,"PG-13"
"56",1994,101,6.9,119.94,325260,"PG-13"
"57",2010,107,6.6,119.22,228842,"PG-13"
"58",2013,115,7.3,117.72,568761,"PG-13"
"59",2000,99,5.2,117.56,77988,"PG-13"
"60",2011,98,6.9,117.54,407331,"R"
"61",2007,122,6.9,117.15,305574,"PG-13"
"62",2003,117,6,116.93,133755,"PG-13"
"63",2013,180,8.2,116.9,1087,"R"
"64",1999,105,6.5,116.74,68418,"R"
"65",1997,138,7.3,112.23,335232,"R"
"66",1988,107,6.1,111.94,107579,"PG"
"67",2015,120,7,110.83,220002,"R"
"68",2005,90,6.1,110.33,128331,"PG-13"
"69",1996,149,7.5,108.77,123387,"R"
"70",1995,90,6.4,108.39,193621,"PG-13"
"71",1994,154,8.9,107.93,1718,"R"
"72",2017,113,7.6,107.83,395922,"R"
"73",2013,134,7.8,107.1,399317,"PG-13"
"74",1999,103,6.7,106.89,140908,"R"
"75",2000,109,6.2,106.81,176561,"PG-13"
"76",2003,111,7,106.13,329548,"PG-13"
"77",2002,117,7.7,104.45,234216,"R"
"78",2018,116,7,103.8,88544,"R"
"79",1990,105,6.1,103.74,54861,"PG"
"80",2017,114,6.5,102.83,191600,"PG-13"
"81",1999,116,6.3,102.71,50557,"R"
"82",2003,103,5.3,102.54,201068,"PG-13"
"83",2011,158,7.8,102.52,399441,"R"
"84",1993,128,7.2,102.31,87635,"R"
"85",1969,110,8,102.31,193408,"PG"
"86",2018,121,6.7,102.08,112968,"R"
"87",2000,118,6.5,101.65,251532,"PG-13"
"88",2014,132,7.2,101.53,314101,"R"
"89",1980,111,6.8,101.3,23661,"R"
"90",1997,115,6.9,101.12,264422,"R"
"91",2004,120,7.5,101.01,343326,"R"
"92",2003,106,4.9,100.83,116287,"PG-13"
"93",1993,141,6.6,100.77,72504,"PG-13"
"94",1995,127,8.6,100.13,1346,"R"
"95",2010,88,6.3,98.71,147522,"PG-13"
"96",1999,78,4.1,97.4,43392,"PG"
"97",2009,140,7,97.1,268096,"R"
"98",2002,112,6.8,96.4,244539,"R"
"99",2002,124,7.2,93.15,237560,"R"
"100",2010,125,7.5,92.19,332562,"R"
"101",1994,119,6.7,92.12,56495,"PG-13"
"102",2017,122,7.5,92.03,330569,"R"
"103",1990,111,6.1,91.46,129532,"PG-13"
"104",2016,102,5.9,91.22,50712,"PG-13"
"105",2009,103,4.4,90.49,11065,"PG-13"
"106",2015,100,6,90.41,115209,"R"
"107",2010,111,7,90.38,277578,"PG-13"
"108",2003,138,7.9,90.14,399173,"R"
"109",2016,88,7.1,89.22,200235,"R"
"110",2006,129,7.6,88.51,321818,"R"
"111",2004,101,6.1,88.24,134433,"PG-13"
"112",1999,113,6.3,87.7,102858,"PG-13"
"113",2008,111,7,87.34,302754,"R"
"114",1991,85,6.9,86.93,99626,"PG-13"
"115",2016,128,7.3,86.26,243874,"R"
"116",2014,104,6.4,82.39,123859,"R"
"117",2006,93,5.7,82.23,78070,"PG"
"118",1999,100,7.1,81.53,127152,"R"
"119",1999,139,7.4,81.3,169032,"R"
"120",2008,123,6.8,81.16,219776,"PG-13"
"121",1990,93,5.9,80.82,36556,"R"
"122",2019,110,6.4,80.55,49708,"R"
"123",2007,105,6.8,80.21,211465,"PG-13"
"124",2012,130,7,80.07,293217,"PG-13"
"125",1991,128,7.3,79.1,160769,"R"
"126",1982,96,6.9,78.87,65221,"R"
"127",1988,85,7.6,78.76,141521,"PG-13"
"128",2011,104,6.2,78.05,127936,"PG-13"
"129",2004,146,7.7,77.91,315639,"R"
"130",1991,137,6.7,77.87,68118,"R"
"131",2002,167,7.5,77.81,384704,"R"
"132",2001,122,7.7,76.63,367778,"R"
"133",1987,119,7.9,76.27,264276,"R"
"134",2016,112,6.5,75.4,158650,"R"
"135",2005,109,6.8,74.49,128196,"R"
"136",2007,122,8.1,74.28,796964,"R"
"137",2005,124,8,74.1,724926,"R"
"138",2009,109,7.4,73.34,259850,"R"
"139",2005,128,6.4,72.71,94570,"PG-13"
"140",2008,90,6.6,72.27,141273,"PG-13"
"141",1995,105,6.9,72.08,72874,"R"
"142",2002,116,7.1,71.76,118219,"PG-13"
"143",1986,93,6.9,71.62,24648,"R"
"144",1989,97,6.2,71.08,60525,"PG"
"145",2001,124,6.8,71.07,115856,"R"
"146",2015,94,4.4,71.04,32269,"PG"
"147",2004,109,5.6,70.83,123217,"PG-13"
"148",2000,99,5.9,70.33,70985,"R"
"149",2006,99,4.7,70.17,38901,"PG-13"
"150",2003,111,8.1,70.1,944142,"R"
"151",2001,99,6.5,69.77,171624,"R"
"152",1999,113,6.8,69.3,83413,"R"
"153",2018,100,6.9,69.18,181266,"R"
"154",1985,112,7.4,68.71,81096,"R"
"155",1999,93,6.3,68.52,71087,"PG-13"
"156",1983,117,6.6,67.64,38414,"R"
"157",1998,107,6.5,67.64,75453,"R"
"158",2010,103,6,67.63,212908,"PG-13"
"159",1995,170,8.2,67.44,542686,"R"
"160",2003,89,4.4,66.93,27932,"Approved"
"161",2001,123,6.1,66.81,99521,"R"
"162",1990,162,7.6,66.67,337055,"R"
"163",2012,109,6.5,66.53,113262,"R"
"164",1999,118,6.7,66.52,146678,"R"
"165",2012,113,7.4,66.49,513674,"R"
"166",2004,137,8,66.21,644972,"R"
"167",1995,119,6.9,65.81,222096,"R"
