"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1",2019,181,8.5,858.37,659441,"PG-13"
"2",1997,194,7.8,659.33,991296,"PG-13"
"3",2019,118,6.9,540.08,160755,"PG"
"4",2008,152,9,534.86,2169,"PG-13"
"5",1994,88,8.5,422.78,884120,"G"
"6",2011,130,8.1,381.01,717317,"PG-13"
"7",2003,201,8.9,377.85,1555,"PG-13"
"8",2004,127,7.1,370.78,205081,"R"
"9",2016,106,7.4,364,248470,"PG"
"10",2015,95,8.2,356.46,565682,"PG"
"11",2014,133,7.3,350.13,415721,"R"
"12",2002,179,8.7,342.55,1404,"PG-13"
"13",1994,142,8.8,330.25,1686,"PG-13"
"14",2001,178,8.8,315.54,1567,"PG-13"
"15",2010,124,5,300.53,217257,"PG-13"
"16",2009,130,4.7,296.62,254370,"PG-13"
"17",1999,107,8.1,293.51,869924,"PG-13"
"18",2012,115,5.5,292.3,220521,"PG-13"
"19",2011,117,4.9,281.29,213684,"PG-13"
"20",2013,91,7.7,274.09,734213,"PG-13"
"21",1975,124,8,260,522603,"PG"
"22",2007,101,7.2,256.39,652998,"PG-13"
"23",2009,129,7.6,255.96,276189,"PG-13"
"24",2003,101,6.7,242.83,355739,"PG-13"
"25",2002,95,6.5,241.44,115749,"PG"
"26",2000,143,7.8,233.63,490211,"PG-13"
"27",2015,144,8,228.43,712619,"PG-13"
"28",2002,106,6.7,227.97,325118,"PG-13"
"29",2017,137,8.1,226.28,598117,"R"
"30",1993,125,7,219.2,230799,"PG-13"
"31",2005,187,7.2,218.08,376180,"PG-13"
"32",1990,127,7,217.63,185944,"PG-13"
"33",1998,169,8.6,216.54,1159,"R"
"34",2018,134,8,216.43,405923,"PG-13"
"35",2018,136,7.7,215.29,295087,"R"
"36",2012,86,6.4,214.03,92917,"PG"
"37",2006,117,7.6,210.61,708028,"R"
"38",2014,130,7.6,208.55,398892,"PG-13"
"39",2007,111,8,206.45,603456,"G"
"40",2015,105,6.9,201.15,150083,"PG"
"41",1939,238,8.1,198.68,272840,"Passed"
"42",2001,183,6.2,198.54,300198,"PG-13"
"43",2019,169,6.6,193.77,154374,"R"
"44",2019,122,8.6,192.73,652327,"R"
"45",2008,122,5.2,191.47,404266,"PG-13"
"46",2017,106,7.9,188.37,499186,"PG-13"
"47",2018,90,7.5,188.02,350529,"PG-13"
"48",2014,169,8.6,188.02,1371,"PG-13"
"49",2000,155,8.5,187.71,1262,"R"
"50",1990,181,8,184.21,227908,"PG-13"
"51",1993,130,7.8,183.88,253260,"PG-13"
"52",2015,156,8,183.64,655600,"R"
"53",2000,130,6.4,182.62,150085,"PG-13"
"54",2012,150,7.3,182.21,234653,"PG-13"
"55",1986,110,6.9,179.8,273742,"PG"
"56",1988,133,8,178.8,453113,"R"
"57",1982,116,7.4,177.2,92040,"PG"
"58",2011,105,7.6,176.76,482140,"PG-13"
"59",2010,140,6.2,176.59,151696,"PG"
"60",2018,120,6.9,174.53,117979,"PG-13"
"61",2017,105,7.6,174.34,213684,"PG"
"62",1995,140,7.6,173.84,253980,"PG"
"63",1997,124,6.5,172.96,171966,"R"
"64",2010,110,7.6,171.24,293745,"PG-13"
"65",2001,135,8.2,170.74,799482,"PG-13"
"66",2011,146,8.1,169.71,404638,"PG-13"
"67",2016,127,7.8,169.61,181567,"PG"
"68",1987,102,6,167.78,44738,"PG"
"69",2014,149,8.1,167.77,796206,"R"
"70",2015,125,4.1,166.17,286259,"R"
"71",1991,143,6.9,165.5,170726,"PG-13"
"72",2001,131,6.8,165.09,242795,"R"
"73",2002,141,8.1,164.62,759426,"PG-13"
"74",2009,108,6.7,163.96,281160,"PG-13"
"75",2006,117,8,163.57,420098,"PG-13"
"76",1999,93,6.4,163.48,190468,"PG-13"
"77",1965,172,8,163.21,191983,"G"
"78",2012,165,8.4,162.81,1266,"R"
"79",2012,88,6.6,161.32,182050,"PG"
"80",2015,147,7.9,161.2,170491,"R"
"81",1973,129,8.3,159.6,228382,"PG"
