"","titles","years"
"1","Star Wars: Episode VII - The Force Awakens",2015
"2","Avengers: Endgame",2019
"3","Avatar",2009
"4","Black Panther",2018
"5","Avengers: Infinity War",2018
"6","Jurassic World",2015
"7","The Avengers",2012
"8","Star Wars: Episode VIII - The Last Jedi",2017
"9","Incredibles 2",2018
"10","The Dark Knight",2008
"11","Rogue One: A Star Wars Story",2016
"12","Star Wars: Episode I - The Phantom Menace",1999
"13","Avengers: Age of Ultron",2015
"14","The Dark Knight Rises",2012
"15","Captain Marvel",2019
"16","The Hunger Games: Catching Fire",2013
"17","Pirates of the Caribbean: Dead Man's Chest",2006
"18","Jurassic World: Fallen Kingdom",2018
"19","Wonder Woman",2017
"20","Iron Man Three",2013
"21","Captain America: Civil War",2016
"22","The Hunger Games",2012
"23","Jumanji: Welcome to the Jungle",2017
"24","Spider-Man",2002
"25","Jurassic Park",1993
"26","Transformers: Revenge of the Fallen",2009
"27","Guardians of the Galaxy Vol. 2",2017
"28","Spider-Man: Far from Home",2019
"29","Star Wars: Episode III - Revenge of the Sith",2005
"30","Spider-Man 2",2004
"31","Deadpool",2016
"32","Furious 7",2015
"33","Transformers: Dark of the Moon",2011
"34","American Sniper",2014
"35","The Hunger Games: Mockingjay - Part 1",2014
"36","Spider-Man 3",2007
"37","Aquaman",2018
"38","Spider-Man: Homecoming",2017
"39","Guardians of the Galaxy",2014
"40","Batman v Superman: Dawn of Justice",2016
"41","Suicide Squad",2016
"42","Deadpool 2",2018
"43","Star Wars: Episode IV - A New Hope",1977
"44","Transformers",2007
"45","Iron Man",2008
"46","Indiana Jones and the Kingdom of the Crystal Skull",2008
"47","Thor: Ragnarok",2017
"48","Iron Man 2",2010
"49","Star Wars: Episode II - Attack of the Clones",2002
"50","Pirates of the Caribbean: At World's End",2007
"51","Star Wars: Episode VI - Return of the Jedi",1983
"52","Independence Day",1996
"53","Pirates of the Caribbean: The Curse of the Black Pearl",2003
"54","Skyfall",2012
"55","Harry Potter and the Half-Blood Prince",2009
"56","The Twilight Saga: Eclipse",2010
"57","Inception",2010
