"","titles","years"
"1","Incredibles 2",2018
"2","The Lion King",2019
"3","Finding Dory",2016
"4","Shrek 2",2004
"5","Toy Story 4",2019
"6","The Lion King",1994
"7","Toy Story 3",2010
"8","Frozen",2013
"9","Finding Nemo",2003
"10","The Secret Life of Pets",2016
"11","Despicable Me 2",2013
"12","Inside Out",2015
"13","Zootopia",2016
"14","Minions",2015
"15","Shrek the Third",2007
"16","Up",2009
"17","Monsters, Inc.",2001
"18","Dr. Seuss' The Grinch",2018
"19","Sing",2016
"20","Monsters University",2013
"21","Shrek",2001
"22","Despicable Me 3",2017
"23","The Incredibles",2004
"24","The Lego Movie",2014
"25","Despicable Me",2010
"26","Moana",2016
"27","Toy Story 2",1999
"28","Cars",2006
"29","Shrek Forever After",2010
"30","Brave",2012
"31","WALL·E",2008
"32","Big Hero 6",2014
"33","Alvin and the Chipmunks: The Squeakquel",2009
"34","Beauty and the Beast",1991
"35","How to Train Your Dragon",2010
"36","Aladdin",1992
"37","Alvin and the Chipmunks",2007
"38","Madagascar 3: Europe's Most Wanted",2012
"39","Kung Fu Panda",2008
"40","The Lorax",2012
"41","Coco",2017
"42","Ratatouille",2007
"43","Ralph Breaks the Internet",2018
"44","Tangled",2010
"45","Monsters vs. Aliens",2009
"46","Happy Feet",2006
"47","Ice Age: Dawn of the Dinosaurs",2009
"48","Ice Age: The Meltdown",2006
"49","Madagascar",2005
"50","Toy Story",1995
"51","Cars 2",2011
"52","Spider-Man: Into the Spider-Verse",2018
"53","Wreck-It Ralph",2012
"54","The Croods",2013
"55","Snow White and the Seven Dwarfs",1937
"56","The Polar Express",2004
"57","The Simpsons Movie",2007
"58","Madagascar: Escape 2 Africa",2008
"59","Home",2015
"60","How to Train Your Dragon 2",2014
"61","Ice Age",2002
"62","The Lego Batman Movie",2017
"63","The Boss Baby",2017
"64","Tarzan",1999
"65","Hotel Transylvania 2",2015
"66","Hotel Transylvania 3: Summer Vacation",2018
"67","Kung Fu Panda 2",2011
"68","The SpongeBob Movie: Sponge Out of Water",2015
"69","A Bug's Life",1998
"70","Ice Age: Continental Drift",2012
"71","Shark Tale",2004
"72","How to Train Your Dragon: The Hidden World",2019
"73","The Secret Life of Pets 2",2019
"74","Who Framed Roger Rabbit",1988
"75","Over the Hedge",2006
