"","titles","years"
"1","American Sniper",2014
"2","The Blind Side",2009
"3","Bohemian Rhapsody",2018
"4","The Revenant",2015
"5","Lincoln",2012
"6","The Greatest Showman",2017
"7","A Beautiful Mind",2001
"8","Hidden Figures",2016
"9","Catch Me If You Can",2002
"10","The Pursuit of Happyness",2006
"11","The Sound of Music",1965
"12","Straight Outta Compton",2015
"13","The King's Speech",2010
"14","Argo",2012
"15","Patch Adams",1998
"16","American Gangster",2007
"17","Erin Brockovich",2000
"18","Lone Survivor",2013
"19","Sully",2016
"20","Good Morning, Vietnam",1987
"21","Walk the Line",2005
"22","The Wolf of Wall Street",2013
"23","The Butler",2013
"24","Remember the Titans",2000
"25","Unbroken",2014
"26","Captain Phillips",2013
"27","The Aviator",2004
"28","Butch Cassidy and the Sundance Kid",1969
"29","Public Enemies",2009
"30","The Social Network",2010
"31","Schindler's List",1993
"32","Rocketman",2019
"33","42",2013
"34","Julie & Julia",2009
"35","The Fighter",2010
"36","Heaven Is for Real",2014
"37","The Imitation Game",2014
"38","Out of Africa",1985
"39","Green Book",2018
"40","Dangerous Minds",1995
"41","I Can Only Imagine",2018
"42","Saving Mr. Banks",2013
"43","The Post",2017
"44","Moneyball",2011
"45","Braveheart",1995
"46","Ray",2004
"47","All the President's Men",1976
"48","The Big Short",2015
"49","Born on the Fourth of July",1989
"50","Hidalgo",2004
"51","Coach Carter",2005
"52","Hacksaw Ridge",2016
"53","Coal Miner's Daughter",1980
"54","Charlie Wilson's War",2007
"55","Miracle",2004
"56","Jarhead",2005
"57","Black Mass",2015
"58","Patton",1970
"59","Miracles from Heaven",2016
"60","Cinderella Man",2005
"61","Secretariat",2010
"62","Son of God",2014
"63","Chariots of Fire",1981
"64","Funny Girl",1968
"65","Ali",2001
"66","Invincible",2006
"67","Cleopatra",1963
"68","12 Years a Slave",2013
"69","Tombstone",1993
"70","Darkest Hour",2017
"71","The Queen",2006
"72","La Bamba",1987
"73","Papillon",1973
"74","Blow",2001
"75","Gandhi",1982
"76","Radio",2003
"77","Awakenings",1990
"78","Selma",2014
"79","Amadeus",1984
"80","Lion",2016
"81","Finding Neverland",2004
"82","American Made",2017
"83","The Hurricane",1999
"84","Evita",1996
"85","Dog Day Afternoon",1975
"86","Bugsy",1991
"87","Men of Honor",2000
"88","BlacKkKlansman",2018
"89","Mask",1985
"90","Malcolm X",1992
"91","Vice",2018
"92","Jersey Boys",2014
"93","Goodfellas",1990
"94","Spotlight",2015
"95","First Man",2018
"96","All Eyez on Me",2017
"97","Lawrence of Arabia",1962
"98","McFarland, USA",2015
"99","The Last Emperor",1987
"100","Soul Surfer",2011
"101","Everest",2015
"102","War Dogs",2016
"103","Escape from Alcatraz",1979
"104","Glory Road",2006
"105","Donnie Brasco",1997
"106","Private Parts",1997
"107","Breakthrough",2019
"108","Reds",1981
"109","Funny Lady",1975
"110","What's Love Got to Do with It",1993
"111","Gridiron Gang",2006
"112","Seven Years in Tibet",1997
"113","Wild",2014
"114","Philomena",2013
"115","Invictus",2009
"116","J. Edgar",2011
"117","Notorious",2009
"118","Alive",1993
"119","Freedom Writers",2007
"120","Million Dollar Arm",2014
"121","The 15:17 to Paris",2018
"122","The Theory of Everything",2014
"123","Shine",1996
"124","Changeling",2008
"125","Silkwood",1983
"126","Selena",1997
"127","The Doors",1991
"128","Dragon: The Bruce Lee Story",1993
"129","Midnight Express",1978
"130","The Killing Fields",1984
"131","The Other Side of the Mountain",1975
"132","Man on the Moon",1999
"133","Concussion",2015
"134","Monster",2003
"135","The Favourite",2018
"136","Alexander",2004
"137","The Informant!",2009
"138","Woman in Gold",2015
"139","Breach",2007
"140","The Pianist",2002
