"","titles","years"
"1","Incredibles 2",2018
"2","Finding Dory",2016
"3","Shrek 2",2004
"4","Toy Story 4",2019
"5","Toy Story 3",2010
"6","Jumanji: Welcome to the Jungle",2017
"7","Frozen",2013
"8","Guardians of the Galaxy Vol. 2",2017
"9","Finding Nemo",2003
"10","The Secret Life of Pets",2016
"11","Despicable Me 2",2013
"12","Deadpool",2016
"13","Inside Out",2015
"14","Zootopia",2016
"15","Minions",2015
"16","Guardians of the Galaxy",2014
"17","Deadpool 2",2018
"18","Shrek the Third",2007
"19","Thor: Ragnarok",2017
"20","Up",2009
"21","Monsters, Inc.",2001
"22","Home Alone",1990
"23","Meet the Fockers",2004
"24","The Hangover",2009
"25","Sing",2016
"26","Monsters University",2013
"27","Shrek",2001
"28","Despicable Me 3",2017
"29","How the Grinch Stole Christmas",2000
"30","The Lego Movie",2014
"31","The Hangover Part II",2011
"32","Despicable Me",2010
"33","Night at the Museum",2006
"34","Men in Black",1997
"35","Moana",2016
"36","Toy Story 2",1999
"37","Cars",2006
"38","Bruce Almighty",2003
"39","My Big Fat Greek Wedding",2002
"40","Ghostbusters",1984
"41","Shrek Forever After",2010
"42","Brave",2012
"43","Beverly Hills Cop",1984
"44","Rush Hour 2",2001
"45","Alvin and the Chipmunks: The Squeakquel",2009
"46","Mrs. Doubtfire",1993
"47","Ted",2012
"48","Aladdin",1992
"49","Alvin and the Chipmunks",2007
"50","Ant-Man and the Wasp",2018
"51","Madagascar 3: Europe's Most Wanted",2012
"52","Kung Fu Panda",2008
"53","Austin Powers in Goldmember",2002
"54","Back to the Future",1985
"55","Wedding Crashers",2005
"56","Charlie and the Chocolate Factory",2005
"57","Ratatouille",2007
"58","Austin Powers: The Spy Who Shagged Me",1999
"59","Ralph Breaks the Internet",2018
"60","Tangled",2010
"61","Monsters vs. Aliens",2009
"62","Happy Feet",2006
"63","Ice Age: Dawn of the Dinosaurs",2009
"64","Ice Age: The Meltdown",2006
"65","Madagascar",2005
"66","Toy Story",1995
"67","22 Jump Street",2014
"68","Cars 2",2011
"69","Teenage Mutant Ninja Turtles",2014
"70","Men in Black II",2002
"71","Wreck-It Ralph",2012
"72","The Croods",2013
"73","Mr. & Mrs. Smith",2005
"74","Pitch Perfect 2",2015
"75","The Polar Express",2004
"76","The Simpsons Movie",2007
