"","titles","years"
"1","The Dark Knight",2008
"2","Zootopia",2016
"3","Beverly Hills Cop",1984
"4","Rush Hour 2",2001
"5","Austin Powers in Goldmember",2002
"6","Sherlock Holmes",2009
"7","Austin Powers: The Spy Who Shagged Me",1999
"8","Joker",2019
"9","22 Jump Street",2014
"10","Sherlock Holmes: A Game of Shadows",2011
"11","Mr. & Mrs. Smith",2005
"12","The Fugitive",1993
"13","Ocean's Eleven",2001
"14","Home Alone 2: Lost in New York",1992
"15","John Wick: Chapter 3 - Parabellum",2019
"16","Chicago",2002
"17","Hannibal",2001
"18","Catch Me If You Can",2002
"19","Batman Returns",1992
"20","The Sting",1973
"21","The Heat",2013
"22","The Longest Yard",2005
"23","Who Framed Roger Rabbit",1988
"24","Beverly Hills Cop II",1987
"25","We're the Millers",2013
"26","American Hustle",2013
"27","Lethal Weapon 2",1989
"28","I, Robot",2004
"29","Lethal Weapon 3",1992
"30","The Fast and the Furious",2001
"31","Rio",2011
"32","Rush Hour",1998
"33","Ocean's 8",2018
"34","Rush Hour 3",2007
"35","Sister Act",1992
"36","Bad Boys II",2003
"37","21 Jump Street",2012
"38","The Green Mile",1999
"39","Ransom",1996
"40","101 Dalmatians",1996
"41","The Godfather",1972
"42","Ride Along",2014
"43","Wanted",2008
"44","Identity Thief",2013
"45","The Departed",2006
"46","Minority Report",2002
"47","The Silence of the Lambs",1991
"48","Lethal Weapon 4",1998
"49","American Gangster",2007
"50","Central Intelligence",2016
"51","2 Fast 2 Furious",2003
"52","Ocean's Twelve",2004
"53","Charlie's Angels",2000
"54","Traffic",2000
"55","Clear and Present Danger",1994
"56","The Mask",1994
"57","The Other Guys",2010
"58","Now You See Me",2013
"59","Big Momma's House",2000
"60","Horrible Bosses",2011
"61","Ocean's Thirteen",2007
"62","S.W.A.T.",2003
"63","The Wolf of Wall Street",2013
"64","Double Jeopardy",1999
"65","Face/Off",1997
"66","Twins",1988
"67","Spy",2015
"68","Fun with Dick and Jane",2005
"69","A Time to Kill",1996
"70","Ace Ventura: When Nature Calls",1995
"71","Pulp Fiction",1994
"72","Baby Driver",2017
"73","Captain Phillips",2013
"74","Analyze This",1999
"75","Miss Congeniality",2000
"76","The Italian Job",2003
"77","Road to Perdition",2002
"78","The Mule",2018
"79","Dick Tracy",1990
"80","Murder on the Orient Express",2017
"81","The General's Daughter",1999
"82","Daredevil",2003
"83","The Girl with the Dragon Tattoo",2011
"84","In the Line of Fire",1993
"85","Butch Cassidy and the Sundance Kid",1969
"86","The Equalizer 2",2018
"87","Gone in 60 Seconds",2000
"88","The Equalizer",2014
"89","Stir Crazy",1980
"90","Con Air",1997
"91","Collateral",2004
"92","Charlie's Angels: Full Throttle",2003
"93","The Pelican Brief",1993
"94","Se7en",1995
"95","Date Night",2010
"96","Inspector Gadget",1999
"97","Public Enemies",2009
"98","Panic Room",2002
"99","Red Dragon",2002
"100","The Town",2010
"101","The Client",1994
"102","John Wick: Chapter 2",2017
"103","Kindergarten Cop",1990
"104","Ride Along 2",2016
"105","Madea Goes to Jail",2009
"106","Get Hard",2015
"107","RED",2010
"108","Mystic River",2003
"109","Don't Breathe",2016
"110","Inside Man",2006
"111","Starsky & Hutch",2004
"112","Entrapment",1999
"113","Pineapple Express",2008
"114","The Naked Gun 2½: The Smell of Fear",1991
"115","The Accountant",2016
"116","Let's Be Cops",2014
"117","The Pink Panther",2006
"118","Payback",1999
"119","The Talented Mr. Ripley",1999
"120","21",2008
"121","Another 48 Hrs.",1990
"122","Hustlers",2019
"123","Disturbia",2007
"124","Jack Reacher",2012
"125","Cape Fear",1991
"126","48 Hrs.",1982
"127","The Naked Gun: From the Files of Police Squad!",1988
"128","Tower Heist",2011
"129","Man on Fire",2004
"130","Backdraft",1991
"131","Gangs of New York",2002
"132","Training Day",2001
"133","The Untouchables",1987
"134","The Girl on the Train",2016
"135","Four Brothers",2005
"136","No Country for Old Men",2007
"137","Sin City",2005
"138","Law Abiding Citizen",2009
"139","The Interpreter",2005
"140","Vantage Point",2008
"141","Get Shorty",1995
"142","John Q",2002
"143","Ruthless People",1986
"144","Turner & Hooch",1989
"145","The Score",2001
"146","Paul Blart: Mall Cop 2",2015
"147","White Chicks",2004
"148","Shaft",2000
"149","Big Momma's House 2",2006
"150","Kill Bill: Vol. 1",2003
"151","Swordfish",2001
"152","The Thomas Crown Affair",1999
"153","Game Night",2018
"154","Witness",1985
"155","Blue Streak",1999
"156","Sudden Impact",1983
"157","A Perfect Murder",1998
"158","The Tourist",2010
"159","Heat",1995
"160","Kangaroo Jack",2003
"161","The Mexican",2001
"162","The Godfather: Part III",1990
"163","Contraband",2012
"164","The Bone Collector",1999
"165","Looper",2012
"166","Kill Bill: Vol. 2",2004
"167","Bad Boys",1995
"168","Stakeout",1987
"169","Madea's Witness Protection",2012
"170","The Taking of Pelham 123",2009
"171","Step Up",2006
"172","Lethal Weapon",1987
"173","Now You See Me 2",2016
"174","L.A. Confidential",1997
"175","The Nut Job",2014
"176","Deja Vu",2006
"177","Life",1999
"178","Risky Business",1983
"179","A Fish Called Wanda",1988
"180","Miami Vice",2006
"181","Tango & Cash",1989
"182","Rising Sun",1993
"183","A Nightmare on Elm Street",2010
"184","Beavis and Butt-Head Do America",1996
"185","Black Mass",2015
"186","The Crying Game",1992
"187","The Fast and the Furious: Tokyo Drift",2006
"188","Prisoners",2013
"189","Harlem Nights",1989
"190","Kiss the Girls",1997
"191","Burn After Reading",2008
"192","Bad Santa",2003
"193","The Last Boy Scout",1991
"194","The Grand Budapest Hotel",2014
"195","Little Man",2006
"196","RoboCop",2014
"197","Sea of Love",1989
"198","Baywatch",2017
"199","The Lincoln Lawyer",2011
"200","Throw Momma from the Train",1987
"201","Takers",2010
"202","Boyz n the Hood",1991
"203","Dragnet",1987
"204","The Godfather: Part II",1974
"205","The Whole Nine Yards",2000
"206","The Blues Brothers",1980
"207","U.S. Marshals",1998
"208","Unlawful Entry",1992
"209","The Perfect Guy",2015
"210","Once Upon a Time in Mexico",2003
"211","Primal Fear",1996
"212","Be Cool",2005
"213","Romeo Must Die",2000
"214","Snake Eyes",1998
"215","The Jackal",1997
"216","Crash",2004
"217","Three Billboards Outside Ebbing, Missouri",2017
"218","Horrible Bosses 2",2014
"219","The Hateful Eight",2015
"220","Focus",2015
"221","3:10 to Yuma",2007
"222","A Simple Favor",2018
"223","RoboCop",1987
"224","Papillon",1973
"225","RED 2",2013
"226","Blow",2001
"227","My Cousin Vinny",1992
"228","No Good Deed",2014
"229","The Call",2013
"230","Exit Wounds",2001
"231","Sneakers",1992
"232","Hoodwinked!",2005
"233","American Made",2017
