"","titles","years"
"1","Fahrenheit 9/11",2004
"2","Jackass 3D",2010
"3","Space Station 3D",2002
"4","March of the Penguins",2005
"5","Justin Bieber: Never Say Never",2011
"6","Jackass Number Two",2006
"7","This Is It",2009
"8","Hannah Montana and Miley Cyrus: Best of Both Worlds Concert",2008
"9","Jackass: The Movie",2002
"10","In Search of Noah's Ark",1976
"11","Hubble 3D",2010
"12","Eddie Murphy: Raw",1987
"13","Mystery of the Nile",2005
"14","Woodstock",1970
"15","This Is Cinerama",1952
"16","Mysteries of Egypt",1998
"17","Super Speedway",1997
"18","The Original Kings of Comedy",2000
"19","Earth",2007
"20","Richard Pryor: Live on the Sunset Strip",1982
"21","Faces of Death",1978
"22","2016: Obama's America",2012
"23","Kevin Hart: Let Me Explain",2013
"24","Seven Wonders of the World",1956
"25","Deliver Us from Evil",2006
"26","Chimpanzee",2012
"27","One Direction: This Is Us",2013
"28","That's Entertainment!",1974
"29","Cinerama Holiday",1955
"30","Chariots of the Gods",1970
"31","Katy Perry: Part of Me",2012
"32","Coral Reef Adventure",2003
"33","Sicko",2007
"34","An Inconvenient Truth",2006
"35","Beyond and Back",1978
"36","Kevin Hart: What Now?",2016
"37","Won't You Be My Neighbor?",2018
"38","In Search of Historic Jesus",1979
"39","The Bermuda Triangle",1979
"40","Bowling for Columbine",2002
"41","The Late Great Planet Earth",1978
"42","Océans",2009
"43","Martin Lawrence Live: Runteldat",2002
"44","Jonas Brothers: The 3D Concert Experience",2009
"45","Michael Jordan to the Max",2000
"46","Galapagos",1955
"47","They Shall Not Grow Old",2018
"48","Bears",2014
"49","Free Solo",2018
"50","Ghosts of the Abyss",2003
"51","Vanishing Wilderness",1974
"52","Monkey Kingdom",2015
"53","Richard Pryor... Here and Now",1983
"54","Richard Pryor: Live in Concert",1979
"55","A Beautiful Planet",2016
"56","African Cats",2011
"57","Madonna: Truth or Dare",1991
"58","To the Arctic 3D",2012
"59","America: Imagine the World Without Her",2014
"60","Capitalism: A Love Story",2009
"61","Search for Paradise",1957
"62","RBG",2018
"63","Born in China",2016
"64","Hillary's America: The Secret History of the Democratic Party",2016
"65","Religulous",2008
"66","Three Identical Strangers",2018
"67","Glee: The 3D Concert Movie",2011
"68","Dave Chappelle's Block Party",2005
"69","Super Size Me",2004
"70","What the #$*! Do We (K)now!?",2004
"71","Cry of the Wild",1973
"72","Winged Migration",2001
"73","U2 3D",2007
"74","Martin Lawrence: You So Crazy",1994
"75","Terror in the Aisles",1984
"76","In Hiding a Bigfoot Story",2017
"77","Apollo 11",2019
"78","Aliens of the Deep",2005
"79","U2: Rattle and Hum",1988
"80","Amy",2015
"81","Mad Hot Ballroom",2005
"82","Jerusalem",2013
"83","Trumbo",2007
"84","Hoop Dreams",1994
"85","Tupac: Resurrection",2003
