"","titles","years"
"1","Avengers: Endgame",2019
"2","Titanic",1997
"3","The Lion King",2019
"4","The Dark Knight",2008
"5","The Lion King",1994
"6","Harry Potter and the Deathly Hallows: Part 2",2011
"7","The Lord of the Rings: The Return of the King",2003
"8","The Passion of the Christ",2004
"9","The Jungle Book",2016
"10","Inside Out",2015
"11","American Sniper",2014
"12","The Lord of the Rings: The Two Towers",2002
"13","Forrest Gump",1994
"14","The Lord of the Rings: The Fellowship of the Ring",2001
"15","The Twilight Saga: Eclipse",2010
"16","The Twilight Saga: New Moon",2009
"17","The Sixth Sense",1999
"18","The Twilight Saga: Breaking Dawn - Part 2",2012
"19","The Twilight Saga: Breaking Dawn - Part 1",2011
"20","Gravity",2013
"21","Jaws",1975
"22","I Am Legend",2007
"23","The Blind Side",2009
"24","Bruce Almighty",2003
"25","My Big Fat Greek Wedding",2002
"26","Cast Away",2000
"27","The Martian",2015
"28","Signs",2002
"29","Logan",2017
"30","Mrs. Doubtfire",1993
"31","King Kong",2005
"32","Ghost",1990
"33","Saving Private Ryan",1998
"34","Bohemian Rhapsody",2018
"35","A Star Is Born",2018
"36","The Lorax",2012
"37","300",2006
"38","Dawn of the Planet of the Apes",2014
"39","Ratatouille",2007
"40","Cinderella",2015
"41","Gone with the Wind",1939
"42","Pearl Harbor",2001
"43","It Chapter Two",2019
"44","Joker",2019
"45","Twilight",2008
"46","Dunkirk",2017
"47","A Quiet Place",2018
"48","Interstellar",2014
"49","Gladiator",2000
"50","Dances with Wolves",1990
"51","The Fugitive",1993
"52","The Revenant",2015
"53","The Perfect Storm",2000
"54","Lincoln",2012
"55","Top Gun",1986
"56","Rain Man",1988
"57","Tootsie",1982
"58","Rise of the Planet of the Apes",2011
"59","The Karate Kid",2010
"60","Crazy Rich Asians",2018
"61","The Greatest Showman",2017
"62","Apollo 13",1995
"63","Air Force One",1997
"64","True Grit",2010
"65","A Beautiful Mind",2001
"66","The Help",2011
"67","Hidden Figures",2016
"68","Three Men and a Baby",1987
"69","Gone Girl",2014
"70","Fifty Shades of Grey",2015
"71","Robin Hood: Prince of Thieves",1991
"72","Hannibal",2001
"73","Catch Me If You Can",2002
"74","The Proposal",2009
"75","The Pursuit of Happyness",2006
"76","Big Daddy",1999
"77","The Sound of Music",1965
"78","Django Unchained",2012
"79","Ice Age: Continental Drift",2012
"80","Straight Outta Compton",2015
"81","The Sting",1973
"82","The Firm",1993
"83","Fatal Attraction",1987
"84","What Lies Beneath",2000
"85","Snow White and the Huntsman",2012
"86","San Andreas",2015
"87","Jerry Maguire",1996
"88","Sex and the City",2008
"89","La La Land",2016
"90","American Hustle",2013
"91","Les Misérables",2012
"92","As Good as It Gets",1997
"93","Gran Torino",2008
"94","War for the Planet of the Apes",2017
"95","Lilo & Stitch",2002
"96","The Great Gatsby",2013
"97","The Santa Clause",1994
"98","I, Robot",2004
"99","The Fast and the Furious",2001
"100","Juno",2007
"101","Marley & Me",2008
"102","Pocahontas",1995
"103","A Few Good Men",1992
"104","Slumdog Millionaire",2008
"105","Deep Impact",1998
"106","The King's Speech",2010
"107","Platoon",1986
"108","Good Will Hunting",1997
"109","A Christmas Carol",2009
"110","Click",2006
"111","The Green Mile",1999
"112","Argo",2012
"113","Once Upon a Time... in Hollywood",2019
"114","Patch Adams",1998
"115","The Godfather",1972
"116","Identity Thief",2013
"117","Superman",1978
"118","Troy",2004
"119","Wonder",2017
"120","The Departed",2006
"121","Silver Linings Playbook",2012
"122","Close Encounters of the Third Kind",1977
"123","The Silence of the Lambs",1991
"124","The Peanuts Movie",2015
"125","American Gangster",2007
"126","American Beauty",1999
"127","An Officer and a Gentleman",1982
"128","Into the Woods",2014
"129","Rocky IV",1985
"130","The Curious Case of Benjamin Button",2008
"131","2 Fast 2 Furious",2003
"132","My Best Friend's Wedding",1997
"133","The Legend of Tarzan",2016
"134","Sleepless in Seattle",1993
"135","The Truman Show",1998
"136","Erin Brockovich",2000
"137","Lone Survivor",2013
"138","Sully",2016
"139","Rocky III",1982
"140","The Vow",2012
"141","Life of Pi",2012
"142","The Fault in Our Stars",2014
"143","The Devil Wears Prada",2006
"144","Something's Gotta Give",2003
"145","Traffic",2000
"146","Good Morning, Vietnam",1987
"147","The Good Dinosaur",2015
"148","Clear and Present Danger",1994
"149","The Bodyguard",1992
"150","50 First Dates",2004
"151","Inglourious Basterds",2009
"152","Seabiscuit",2003
"153","Four Christmases",2008
"154","Walk the Line",2005
"155","On Golden Pond",1981
"156","Fahrenheit 9/11",2004
"157","The Sum of All Fears",2002
"158","Hairspray",2007
"159","The Break-Up",2006
"160","Basic Instinct",1992
"161","Rocky",1976
"162","The Wolf of Wall Street",2013
"163","Double Jeopardy",1999
"164","8 Mile",2002
"165","The Butler",2013
"166","Notting Hill",1999
"167","The Towering Inferno",1974
"168","You've Got Mail",1998
"169","Creed II",2018
"170","Remember the Titans",2000
"171","Unbroken",2014
"172","Girls Trip",2017
"173","American Graffiti",1973
"174","Big",1988
"175","Fifty Shades Darker",2017
"176","The Village",2004
"177","Bolt",2008
"178","Magic Mike",2012
"179","The Patriot",2000
"180","The Pacifier",2005
"181","It's Complicated",2009
"182","One Flew Over the Cuckoo's Nest",1975
"183","Doctor Zhivago",1965
"184","The Last Samurai",2003
"185","Glass",2019
"186","Trainwreck",2015
"187","Creed",2015
"188","A Time to Kill",1996
"189","Black Hawk Down",2001
"190","Terms of Endearment",1983
"191","The Upside",2017
"192","Pulp Fiction",1994
"193","Baby Driver",2017
"194","A League of Their Own",1992
"195","Watchmen",2009
"196","Captain Phillips",2013
"197","Black Swan",2010
"198","Chicken Run",2000
"199","Indecent Proposal",1993
"200","Driving Miss Daisy",1989
"201","300: Rise of an Empire",2014
"202","Love Story",1970
"203","Kramer vs. Kramer",1979
"204","Robin Hood",2010
"205","Interview with the Vampire: The Vampire Chronicles",1994
"206","The Graduate",1967
"207","Phenomenon",1996
"208","Road to Perdition",2002
"209","The Mule",2018
"210","Dreamgirls",2006
"211","Jaws 2",1978
"212","Murder on the Orient Express",2017
"213","Bambi",1942
"214","The General's Daughter",1999
"215","The Aviator",2004
"216","The Girl with the Dragon Tattoo",2011
"217","In the Line of Fire",1993
"218","Butch Cassidy and the Sundance Kid",1969
"219","The Goodbye Girl",1977
"220","Sleeping with the Enemy",1991
"221","Eraser",1996
"222","The Prince of Egypt",1998
"223","Noah",2014
"224","Unforgiven",1992
"225","Collateral",2004
"226","Contact",1997
"227","The Pelican Brief",1993
"228","Arrival",2016
"229","Due Date",2010
"230","The Rugrats Movie",1998
"231","Million Dollar Baby",2004
"232","Airport",1970
"233","Fifty Shades Freed",2018
"234","Shakespeare in Love",1998
"235","The Hunchback of Notre Dame",1996
"236","Se7en",1995
"237","Parenthood",1989
"238","Passengers",2016
"239","Christopher Robin",2018
"240","The Color Purple",1985
"241","Billy Jack",1971
"242","Public Enemies",2009
"243","The Social Network",2010
"244","Schindler's List",1993
"245","Panic Room",2002
"246","Rocketman",2019
"247","Dead Poets Society",1989
"248","Zero Dark Thirty",2012
"249","Cold Mountain",2003
"250","Sex and the City 2",2010
"251","Michael",1996
"252","Unbreakable",2000
"253","42",2013
"254","Flashdance",1983
"255","The Book of Eli",2010
"256","10,000 BC",2008
"257","Beverly Hills Chihuahua",2008
"258","Saturday Night Fever",1977
"259","Julie & Julia",2009
"260","Maid in Manhattan",2002
"261","He's Just Not That Into You",2009
"262","Master and Commander: The Far Side of the World",2003
"263","Flight",2012
"264","The Ten Commandments",1956
"265","The Fighter",2010
"266","Lady and the Tramp",1955
"267","The Bucket List",2007
"268","Red Dragon",2002
"269","Elysium",2013
"270","When Harry Met Sally...",1989
"271","The Town",2010
"272","The Client",1994
"273","Blade Runner 2049",2017
"274","Star Trek: First Contact",1996
"275","Heaven Is for Real",2014
"276","Crimson Tide",1995
"277","Stepmom",1998
"278","The Imitation Game",2014
