"","titles","years"
"1","Star Wars: Episode VII - The Force Awakens",2015
"2","Avengers: Endgame",2019
"3","Avatar",2009
"4","Black Panther",2018
"5","Avengers: Infinity War",2018
"6","Titanic",1997
"7","Jurassic World",2015
"8","The Avengers",2012
"9","Star Wars: Episode VIII - The Last Jedi",2017
"10","Incredibles 2",2018
"11","The Lion King",2019
"12","The Dark Knight",2008
"13","Rogue One: A Star Wars Story",2016
"14","Beauty and the Beast",2017
"15","Finding Dory",2016
"16","Star Wars: Episode I - The Phantom Menace",1999
"17","Avengers: Age of Ultron",2015
"18","The Dark Knight Rises",2012
"19","Shrek 2",2004
"20","E.T. the Extra-Terrestrial",1982
"21","Toy Story 4",2019
"22","Captain Marvel",2019
"23","The Hunger Games: Catching Fire",2013
"24","Pirates of the Caribbean: Dead Man's Chest",2006
"25","The Lion King",1994
"26","Jurassic World: Fallen Kingdom",2018
"27","Toy Story 3",2010
"28","Wonder Woman",2017
"29","Iron Man Three",2013
"30","Captain America: Civil War",2016
"31","The Hunger Games",2012
"32","Jumanji: Welcome to the Jungle",2017
"33","Spider-Man",2002
"34","Jurassic Park",1993
"35","Transformers: Revenge of the Fallen",2009
"36","Frozen",2013
"37","Guardians of the Galaxy Vol. 2",2017
"38","Spider-Man: Far from Home",2019
"39","Harry Potter and the Deathly Hallows: Part 2",2011
"40","Finding Nemo",2003
"41","Star Wars: Episode III - Revenge of the Sith",2005
"42","The Lord of the Rings: The Return of the King",2003
"43","Spider-Man 2",2004
"44","The Passion of the Christ",2004
"45","The Secret Life of Pets",2016
"46","Despicable Me 2",2013
"47","The Jungle Book",2016
"48","Deadpool",2016
"49","Inside Out",2015
"50","Aladdin",2019
"51","Furious 7",2015
"52","Transformers: Dark of the Moon",2011
"53","American Sniper",2014
"54","The Lord of the Rings: The Two Towers",2002
"55","Zootopia",2016
"56","The Hunger Games: Mockingjay - Part 1",2014
"57","Spider-Man 3",2007
"58","Minions",2015
"59","Aquaman",2018
"60","Spider-Man: Homecoming",2017
"61","Alice in Wonderland",2010
"62","Guardians of the Galaxy",2014
