"","titles","years"
"1","Gone with the Wind",1939
"2","Pearl Harbor",2001
"3","Dunkirk",2017
"4","The Revenant",2015
"5","Lincoln",2012
"6","Apollo 13",1995
"7","Hidden Figures",2016
"8","Straight Outta Compton",2015
"9","Les Misérables",2012
"10","The King's Speech",2010
"11","Troy",2004
"12","Seabiscuit",2003
"13","The Patriot",2000
"14","Black Hawk Down",2001
"15","Robin Hood",2010
"16","Shakespeare in Love",1998
"17","Public Enemies",2009
"18","Schindler's List",1993
"19","Cold Mountain",2003
"20","10,000 BC",2008
"21","Master and Commander: The Far Side of the World",2003
"22","Valkyrie",2008
"23","The Post",2017
"24","21",2008
"25","War Horse",2011
"26","We Were Soldiers",2002
"27","The Monuments Men",2014
"28","Braveheart",1995
"29","Ben-Hur",1959
"30","Bridge of Spies",2015
"31","All the President's Men",1976
"32","JFK",1991
"33","World Trade Center",2006
"34","The Big Short",2015
"35","Cool Runnings",1993
"36","Hacksaw Ridge",2016
"37","Charlie Wilson's War",2007
"38","Miracle",2004
"39","Cinderella Man",2005
"40","Deepwater Horizon",2016
"41","The Good Shepherd",2006
"42","Secretariat",2010
"43","Son of God",2014
"44","Cleopatra",1963
"45","12 Years a Slave",2013
"46","Tombstone",1993
"47","Darkest Hour",2017
"48","The Queen",2006
"49","Ying xiong",2002
"50","13 Hours",2016
"51","Gandhi",1982
"52","Selma",2014
"53","Amadeus",1984
"54","King Arthur",2004
"55","Enemy at the Gates",2001
"56","A Bridge Too Far",1977
"57","Evita",1996
"58","Woodstock",1970
"59","Red Tails",2012
"60","Malcolm X",1992
"61","Munich",2005
"62","Kingdom of Heaven",2005
"63","12 Strong",2018
"64","First Man",2018
"65","Lawrence of Arabia",1962
"66","Amistad",1997
"67","The Last Emperor",1987
"68","Remake",2003
"69","Reds",1981
"70","Legion",2010
"71","The Illusionist",2006
"72","Anna and the King",1999
"73","The Longest Day",1962
"74","Seven Years in Tibet",1997
"75","The Nativity Story",2006
"76","Tom Jones",1963
"77","Invictus",2009
"78","Risen",2016
"79","The Robe",1953
"80","Changeling",2008
"81","Silkwood",1983
"82","K-19: The Widowmaker",2002
"83","The Killing Fields",1984
"84","Mississippi Burning",1988
"85","Thirteen Days",2000
"86","The Favourite",2018
"87","Alexander",2004
"88","Flags of Our Fathers",2006
"89","Woman in Gold",2015
"90","Breach",2007
"91","The 13th Warrior",1999
"92","Seven Wonders of the World",1956
"93","Patriots Day",2016
"94","History of the World: Part I",1981
"95","Rob Roy",1995
"96","United 93",2006
"97","Good Night, and Good Luck.",2005
"98","Elizabeth",1998
"99","Spartacus",1960
"100","Tora! Tora! Tora!",1970
"101","Samson and Delilah",1949
"102","Capote",2005
"103","Defiance",2008
"104","A Man for All Seasons",1966
"105","The Hindenburg",1975
"106","The Finest Hours",2016
"107","A Passage to India",1984
"108","Glory",1989
"109","The Other Boleyn Girl",2008
"110","El Cid",1961
"111","Ben-Hur",2016
"112","Demetrius and the Gladiators",1954
"113","W.",2008
"114","In the Heart of the Sea",2015
"115","Quiz Show",1994
"116","Jesus Christ Superstar",1973
"117","Across the Universe",2007
"118","Quo Vadis",1951
"119","Hotel Rwanda",2004
"120","Caligula",1979
"121","Pompeii",2014
"122","Beloved",1998
"123","The Alamo",2004
"124","The Lion in Winter",1968
"125","Victoria & Abdul",2017
"126","Empire of the Sun",1987
"127","The Right Stuff",1983
"128","Amazing Grace",2006
"129","Quest for Fire",1981
"130","Free State of Jones",2016
"131","The Three Musketeers",2011
"132","The Eagle",2011
"133","The Four Musketeers: Milady's Revenge",1974
"134","The Impossible",2012
"135","Exodus",1960
"136","Geronimo: An American Legend",1993
"137","Frost/Nixon",2008
"138","They Shall Not Grow Old",2018
"139","For Whom the Bell Tolls",1943
"140","Operation Finale",2018
"141","The Last King of Scotland",2006
"142","Paul, Apostle of Christ",2018
"143","The Zookeeper's Wife",2017
"144","Chappaquiddick",2017
"145","The Alamo",1960
"146","The Mission",1986
"147","Detroit",2017
"148","Mary Queen of Scots",2018
"149","Sergeant York",1941
"150","An American Haunting",2005
"151","Elizabeth: The Golden Age",2007
"152","Across the Sea of Time",1995
"153","Marie Antoinette",2006
"154","The Birth of a Nation",2016
"155","The Greatest Story Ever Told",1965
"156","The Greatest Game Ever Played",2005
"157","The Madness of King George",1994
"158","Cyrano de Bergerac",1990
"159","King of Kings",1961
"160","Hollywoodland",2006
"161","The Messenger: The Story of Joan of Arc",1999
"162","Les Misérables",1998
"163","Missing",1982
"164","Jackie",2016
"165","The Duchess",2008
"166","Letters from Iwo Jima",2006
"167","Mutiny on the Bounty",1962
"168","Nixon",1995
"169","One Night with the King",2006
"170","Rosewood",1997
"171","Hillary's America: The Secret History of the Democratic Party",2016
"172","Flyboys",2006
"173","Ghosts of Mississippi",1996
"174","Gods and Generals",2003
"175","The Founder",2016
"176","The New World",2005
"177","Three Identical Strangers",2018
"178","Solomon and Sheba",1959
"179","The 33",2015
"180","The Great Escape",1963
"181","End of the Spear",2005
"182","Padmaavat",2018
"183","The Conspirator",2010
"184","Young Einstein",1988
"185","Extreme Prejudice",1987
"186","Balto",1995
"187","Bobby",2006
"188","Battle of the Bulge",1965
"189","The Young Victoria",2009
"190","Gettysburg",1993
"191","The Newton Boys",1998
"192","Battleground",1949
"193","The Best of Enemies",2019
"194","Henry V",1989
"195","Marshall",2017
"196","The Birth of a Nation",1915
"197","Hotel Mumbai",2018
"198","The Brink's Job",1978
"199","Mrs Brown",1997
"200","A Mighty Heart",2007
"201","Star!",1968
"202","Apollo 11",2019
"203","Scandal",1989
"204","The Bounty",1984
"205","The Lost City of Z",2016
"206","Mandela: Long Walk to Freedom",2013
"207","Christopher Columbus: The Discovery",1992
"208","Black Robe",1991
"209","The Death of Stalin",2017
"210","Night Crossing",1982
"211","Taking Woodstock",2009
"212","The Crucible",1996
"213","1492: Conquest of Paradise",1992
"214","Breaker Morant",1980
"215","Silence",2016
"216","The Vikings",1958
"217","Helen of Troy",1956
"218","Bajirao Mastani",2015
"219","Khartoum",1966
"220","Sink the Bismarck!",1960
"221","Little Boy",2015
"222","Hyde Park on Hudson",2012
"223","Southside with You",2016
"224","Unbroken: Path to Redemption",2018
"225","Topsy-Turvy",1999
"226","Rabbit-Proof Fence",2002
"227","1776",1972
"228","American Pop",1981
"229","Cry Freedom",1987
"230","Death of a Nation",2018
"231","Heaven & Earth",1993
"232","Luther",2003
"233","Gallipoli",1981
"234","Get on the Bus",1996
"235","Mongol: The Rise of Genghis Khan",2007
"236","Eight Men Out",1988
"237","For Greater Glory: The True Story of Cristiada",2012
"238","Europa Europa",1990
"239","Kundun",1997
"240","Downfall",2004
"241","Stan & Ollie",2018
"242","Che!",1969
"243","Cave of Forgotten Dreams",2010
"244","The Wind Rises",2013
"245","Inchon",1981
"246","Colette",2018
"247","Sunshine",1999
"248","The Diary of Anne Frank",1959
"249","Titanic",1953
"250","The Libertine",2004
"251","The Long Walk Home",1990
"252","King David",1985
"253","The Fall of the Roman Empire",1964
"254","Suffragette",2015
"255","Lust, Caution",2007
"256","Cold War",2018
"257","Tolkien",2019
"258","The Conqueror",1956
"259","Talk to Me",2007
"260","Persepolis",2007
"261","Battle of Britain",1969
"262","Catch a Fire",2006
"263","China Cry: A True Story",1990
"264","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara",2003
"265","The Water Diviner",2014
"266","Kama Sutra: A Tale of Love",1996
"267","Restoration",1995
"268","The Visual Bible: The Gospel of John",2003
"269","Mountains of the Moon",1990
"270","Taras Bulba",1962
"271","Mr. Turner",2014
"272","Des hommes et des dieux",2010
"273","The Assassination of Jesse James by the Coward Robert Ford",2007
"274","Mission Mangal",2019
"275","Old Gringo",1989
"276","Fat Man and Little Boy",1989
"277","Once Upon a Time in China III",1992
"278","Jodhaa Akbar",2008
"279","Emperor",2012
"280","Exit Through the Gift Shop",2010
"281","The Iron Mask",1929
"282","7 Days in Entebbe",2018
"283","Sgt. Stubby: An American Hero",2018
"284","Tous les matins du monde",1991
"285","La veuve de Saint-Pierre",2000
"286","Waterloo",1970
"287","Princess Caraboo",1994
"288","The World in His Arms",1952
"289","The Bandit of Sherwood Forest",1946
"290","Anthropoid",2016
"291","Man on Wire",2008
"292","Newsies",1992
"293","Est - Ouest",1999
"294","The Way Back",2010
"295","Yip Man 3",2015
"296","Burnt by the Sun",1994
"297","Raise the Red Lantern",1991
"298","The Admiral",2014
"299","Prince of Foxes",1949
"300","Truth",2015
"301","Jefferson in Paris",1995
"302","LBJ",2016
"303","The Endurance",2000
"304","Tulip Fever",2017
"305","The Gatekeepers",2012
"306","Krakatoa: East of Java",1968
"307","I sequestrati di Altona",1962
"308","Les Miserables",1952
"309","The Business of Show Business",1983
"310","Yao a yao, yao dao wai po qiao",1995
"311","Renoir",2012
"312","Waltz with Bashir",2008
"313","The Nasty Girl",1990
"314","Riding Giants",2004
"315","The Dish",2000
"316","The White Ribbon",2009
"317","Shattered Glass",2003
"318","Nine Hours to Rama",1963
"319","Intolerance: Love's Struggle Throughout the Ages",1916
"320","King Richard and the Crusaders",1954
"321","Anne of the Thousand Days",1969
"322","The Iron Horse",1924
"323","Queen Margot",1994
"324","The Front Runner",2018
"325","Wilson",1944
"326","She Done Him Wrong",1933
"327","Betrayed",1954
"328","Paradise Road",1997
"329","Titus",1999
"330","The Corporation",2003
"331","Testament of Youth",2014
"332","Tender Embers",2018
"333","The King of Kings",1927
"334","Che: Part One",2008
"335","Matewan",1987
"336","The White Countess",2005
"337","Tim's Vermeer",2013
"338","Daughters of the Dust",1991
"339","Red Joan",2018
"340","Bless Me, Ultima",2012
"341","A Royal Affair",2012
"342","A Taxi Driver",2017
"343","Kon-Tiki",2012
"344","Bill Cunningham New York",2010
"345","The Celluloid Closet",1995
"346","Land of the Pharaohs",1955
"347","The Gorgeous Hussy",1936
"348","Belizaire the Cajun",1986
"349","Why We Fight",2005
"350","Old Ironsides",1926
"351","The Cokeville Miracle",2015
"352","Snow Flower and the Secret Fan",2011
"353","The Salt of the Earth",2014
"354","The Emperor and the Assassin",1998
"355","Joan the Woman",1916
"356","Romero",1989
"357","Iris",2014
"358","Never Look Away",2018
"359","Commandos Strike at Dawn",1942
"360","King of the Hill",1993
"361","Churchill",2017
"362","Wo de fu qin mu qin",1999
"363","Mohenjo Daro",2016
"364","De Sade",1969
"365","The Invisible Woman",2013
"366","Child 44",2015
"367","All Is True",2018
"368","Festival Express",2003
"369","Fellini - Satyricon",1969
"370","In the Shadow of the Moon",2007
"371","Macbeth",2015
"372","Viceroy's House",2017
"373","Made in Dagenham",2010
"374","September Dawn",2007
"375","The Innocents",2016
"376","Nuovomondo",2006
"377","Joyeux Noel",2005
"378","Before the Rains",2007
"379","Les misérables",1995
"380","Elvis & Nixon",2016
"381","Battle for Incheon: Operation Chromite",2016
"382","The Black Swan",1942
"383","Goya's Ghosts",2006
"384","Caravans",1978
"385","Drums Along the Mohawk",1939
"386","Raffles",1930
"387","Neruda",2016
"388","Gwanghae: Wangyidoen namja",2012
"389","Ruby",1992
"390","The War Room",1993
"391","Best of Enemies",2015
"392","La otra conquista",1998
"393","When a Man Loves",1927
"394","Frantz",2016
"395","Mangal Pandey: The Rising",2005
"396","Bombshell: The Hedy Lamarr Story",2017
"397","Ballets Russes",2005
"398","Operation Mekong",2016
"399","Visions of Light",1992
"400","Victory Through Air Power",1943
"401","Orphans of the Storm",1921
"402","Im Labyrinth des Schweigens",2014
"403","Cabeza de Vaca",1990
"404","For All Mankind",1989
"405","Mark Felt: The Man Who Brought Down The White House",2017
"406","Bloody Sunday",2002
"407","Queen Christina",1933
"408","The Fighting Preacher",2019
"409","Colonel Chabert",1994
"410","Conquest",1937
"411","North Face",2008
"412","Ashoka the Great",2001
"413","The Assassination of Richard Nixon",2004
"414","Muscle Shoals",2013
"415","Red Army",2014
"416","Edward II",1991
"417","Lumumba",2000
"418","Sophie Scholl: The Final Days",2005
"419","Alone Yet Not Alone",2013
"420","The Advocate",1993
"421","Parkland",2013
"422","Inside Deep Throat",2005
"423","The Stanford Prison Experiment",2015
"424","Beaumarchais the Scoundrel",1996
"425","Red Cliff II",2009
"426","Red Cliff",2008
"427","Agora",2009
"428","The Assassin",2015
"429","Going Upriver: The Long War of John Kerry",2004
"430","Some Mother's Son",1996
