"","titles","years"
"1","It",2017
"2","The Exorcist",1973
"3","World War Z",2013
"4","It Chapter Two",2019
"5","A Quiet Place",2018
"6","Get Out",2017
"7","Us",2019
"8","Hotel Transylvania 2",2015
"9","Halloween",2018
"10","What Lies Beneath",2000
"11","Hotel Transylvania",2012
"12","Gremlins",1984
"13","The Meg",2018
"14","The Blair Witch Project",1999
"15","Split",2016
"16","The Conjuring",2013
"17","The Ring",2002
"18","The Nun",2018
"19","The Grudge",2004
"20","Paranormal Activity",2007
"21","Interview with the Vampire: The Vampire Chronicles",1994
"22","Paranormal Activity 3",2011
"23","Scream",1996
"24","Jaws 2",1978
"25","The Mummy: Tomb of the Dragon Emperor",2008
"26","The Conjuring 2",2016
"27","Annabelle: Creation",2017
"28","Scream 2",1997
"29","Sleepy Hollow",1999
"30","The Others",2001
"31","The Haunting",1999
"32","Don't Breathe",2016
"33","Scream 3",2000
"34","Saw II",2005
"35","The Amityville Horror",1979
"36","Paranormal Activity 2",2010
"37","Annabelle",2014
"38","Scooby-Doo 2: Monsters Unleashed",2004
"39","Insidious: Chapter 2",2013
"40","Freddy vs. Jason",2003
"41","Dracula",1992
"42","Blade II",2002
"43","The Texas Chainsaw Massacre",2003
"44","Alien vs. Predator",2004
"45","Saw III",2006
"46","Goosebumps",2015
"47","Cloverfield",2008
"48","Dark Shadows",2012
"49","The Purge: Election Year",2016
"50","Alien",1979
"51","Poltergeist",1982
"52","The Ring Two",2005
"53","Constantine",2005
"54","The Haunted Mansion",2003
"55","Hellboy II: The Golden Army",2008
"56","Zombieland",2009
"57","The Exorcism of Emily Rose",2005
"58","Alien: Covenant",2017
"59","Annabelle Comes Home",2019
"60","Hollow Man",2000
"61","Tyler Perry's Boo! A Madea Halloween",2016
"62","I Know What You Did Last Summer",1997
"63","10 Cloverfield Lane",2016
"64","1408",2007
"65","The Purge: Anarchy",2014
"66","Mama",2013
"67","Blade",1998
"68","The First Purge",2018
"69","The House with a Clock in Its Walls",2018
"70","Insidious: The Last Key",2018
"71","Lights Out",2016
"72","End of Days",1999
"73","The Final Destination",2009
"74","Warm Bodies",2013
"75","Anaconda",1997
"76","The Amityville Horror",2005
"77","The Visit",2015
"78","Wolf",1994
"79","Friday the 13th",2009
"80","The Purge",2013
"81","The Witches of Eastwick",1987
"82","Saw IV",2007
"83","A Nightmare on Elm Street",2010
"84","Scary Stories to Tell in the Dark",2019
"85","Underworld Awakening",2012
"86","The Wolfman",2010
"87","Flatliners",1990
"88","The Cell",2000
"89","Resident Evil: Afterlife",2010
"90","Species",1995
"91","Gothika",2003
"92","Hellboy",2004
"93","The Stepford Wives",2004
"94","Dawn of the Dead",2004
"95","Death Becomes Her",1992
"96","Halloween",2007
"97","Pet Sematary",1989
"98","The Perfect Guy",2015
"99","Escape Room",2019
"100","Saw V",2008
"101","White Noise",2005
"102","Dracula Untold",2014
"103","Wallace & Gromit: The Curse of the Were-Rabbit",2005
"104","Saw",2004
"105","Hansel & Gretel: Witch Hunters",2013
"106","Happy Death Day",2017
"107","Alien³",1992
"108","The Haunting in Connecticut",2009
"109","The Shallows",2016
"110","Halloween H20: 20 Years Later",1998
"111","Spawn",1997
"112","The Curse of La Llorona",2019
"113","Pet Sematary",2019
"114","The Omen",2006
"115","The Woman in Black",2012
"116","Evil Dead",2013
"117","Final Destination 3",2006
"118","Insidious",2010
"119","Paranormal Activity 4",2012
"120","Final Destination",2000
"121","The Devil Inside",2012
"122","Arachnophobia",1990
"123","Sweeney Todd: The Demon Barber of Fleet Street",2007
"124","King Kong",1976
"125","The Strangers",2008
"126","No Good Deed",2014
"127","Blade: Trinity",2004
"128","Insidious: Chapter 3",2015
"129","The Call",2013
"130","My Bloody Valentine",2009
"131","Resident Evil: Apocalypse",2004
"132","Hide and Seek",2005
"133","Ouija",2014
"134","The Dark Tower",2017
"135","Resident Evil: Extinction",2007
"136","Stigmata",1999
"137","A Nightmare on Elm Street 4: The Dream Master",1988
"138","The Doll Comes Home",2019
"139","The Possession",2012
"140","Sinister",2012
"141","When a Stranger Calls",2006
"142","The Skeleton Key",2005
"143","Alien Resurrection",1997
"144","Poltergeist",2015
"145","Hostel",2005
"146","Boo 2! A Madea Halloween",2017
"147","Halloween",1978
"148","Silent Hill",2006
"149","Final Destination 2",2003
"150","Boogeyman",2005
"151","Goosebumps 2: Haunted Halloween",2018
"152","Saw: The Final Chapter",2010
"153","Jaws 3-D",1983
"154","Ma",2019
"155","28 Days Later...",2002
"156","A Nightmare on Elm Street 3: Dream Warriors",1987
"157","47 Meters Down",2017
"158","Hereditary",2018
"159","The Shining",1980
"160","Prom Night",2008
"161","The Unborn",2009
"162","Krampus",2015
"163","Final Destination 5",2011
"164","Resident Evil: Retribution",2012
"165","Drag Me to Hell",2009
"166","The Cabin in the Woods",2011
"167","Thir13en Ghosts",2001
"168","Exorcist: The Beginning",2004
"169","Aliens vs. Predator: Requiem",2007
"170","The Hills Have Eyes",2006
"171","Orphan",2009
"172","Gremlins 2: The New Batch",1990
"173","Blumhouse's Truth or Dare",2018
"174","The Last Exorcism",2010
"175","Poltergeist II: The Other Side",1986
"176","House on Haunted Hill",1999
"177","The Fly",1986
"178","Legion",2010
"179","Resident Evil",2002
"180","The Faculty",1998
"181","I Still Know What You Did Last Summer",1998
"182","Friday the 13th",1980
"183","30 Days of Night",2007
"184","The Texas Chainsaw Massacre: The Beginning",2006
"185","Pitch Black",2000
"186","The Grudge 2",2006
"187","The Crazies",2010
"188","The Sword and the Sorcerer",1982
"189","Crawl",2019
"190","Little Shop of Horrors",1986
"191","Scream 4",2011
"192","Urban Legend",1998
"193","Jigsaw",2017
"194","The Brothers Grimm",2005
"195","Jeepers Creepers",2001
"196","Red Riding Hood",2011
"197","Abraham Lincoln: Vampire Hunter",2012
"198","Friday the 13th: Part III",1982
"199","The Boy",2016
"200","The Mothman Prophecies",2002
"201","Jeepers Creepers 2",2003
"202","The Intruder",2019
"203","The Boy Next Door",2015
"204","The Messengers",2007
"205","Frankenweenie",2012
"206","Carrie",2013
"207","Ghoulies",1984
"208","Faces of Death",1978
"209","Ouija: Origin of Evil",2016
"210","Freddy's Dead: The Final Nightmare",1991
"211","Psycho II",1983
"212","Texas Chainsaw 3D",2013
"213","The Relic",1997
"214","Carrie",1976
"215","Dreamcatcher",2003
"216","Devil",2010
"217","Halloween II",2009
"218","Child's Play",1988
"219","The Rite",2011
"220","Dracula 2000",2000
"221","Friday the 13th: The Final Chapter",1984
"222","The Last House on the Left",2009
"223","Annihilation",2018
"224","Darkness Falls",2003
"225","Unfriended",2014
"226","Paranormal Activity: The Marked Ones",2014
"227","Bride of Chucky",1998
"228","Anacondas: The Hunt for the Blood Orchid",2004
"229","The Lost Boys",1987
"230","The Lawnmower Man",1992
"231","House of Wax",2005
"232","Psycho",1960
"233","Lake Placid",1999
"234","Quarantine",2008
"235","House at the End of the Street",2012
"236","From Hell",2001
"237","The Eye",2008
"238","The Mortal Instruments: City of Bones",2013
"239","Crimson Peak",2015
"240","The Texas Chain Saw Massacre",1974
"241","Exorcist II: The Heretic",1977
"242","Mirrors",2008
"243","Predator 2",1990
"244","Open Water",2003
"245","Deliver Us from Evil",2014
"246","Slender Man",2018
"247","An American Werewolf in London",1981
"248","Sleepwalkers",1992
"249","Halloween: Resurrection",2002
"250","Underworld: Blood Wars",2016
"251","Queen of the Damned",2002
"252","The Addams Family",2019
"253","Life",2017
"254","Ghost Ship",2002
"255","Daybreakers",2009
"256","A Nightmare on Elm Street 2: Freddy's Revenge",1985
"257","When the Bough Breaks",2016
"258","The Fog",2005
"259","Twilight Zone: The Movie",1983
"260","Bless the Child",2000
"261","Child's Play",2019
"262","Priest",2011
"263","28 Weeks Later",2007
"264","The Uninvited",2009
"265","Child's Play 2",1990
"266","Doom",2005
"267","Happy Death Day 2U",2019
"268","Rings",2017
"269","Sinister 2",2015
"270","Oculus",2013
"271","Saw VI",2009
"272","The Island of Dr. Moreau",1996
"273","Midsommar",2019
"274","One Missed Call",2008
"275","Resident Evil: The Final Chapter",2016
"276","Zombieland: Double Tap",2019
"277","Ready or Not",2019
"278","Event Horizon",1997
"279","The Forest",2016
"280","An American Werewolf in Paris",1997
"281","The Woman in Black 2: Angel of Death",2014
"282","Book of Shadows: Blair Witch 2",2000
"283","Jacob's Ladder",1990
"284","The Exorcist III",1990
"285","The Descent",2005
"286","Magic",1978
"287","Shutter",2008
"288","The Lazarus Effect",2015
"289","Candyman",1992
"290","From Dusk Till Dawn",1996
"291","The Mist",2007
"292","Halloween II",1981
"293","A Nightmare on Elm Street",1984
"294","Mimic",1997
"295","Dark Water",2005
"296","The VVitch: A New-England Folktale",2015
"297","The Reaping",2007
"298","Winchester",2018
"299","Grindhouse",2007
"300","Piranha 3D",2010
"301","The Hills Have Eyes",1977
"302","Invasion of the Body Snatchers",1978
"303","Fright Night",1985
"304","The Craft",1996
"305","The Strangers: Prey at Night",2018
"306","The People Under the Stairs",1991
"307","Don't Be Afraid of the Dark",2010
"308","Perfect Stranger",2007
"309","Graduation Day",1981
"310","House of Wax",1953
"311","The Wicker Man",2006
"312","Ghost Story",1981
"313","The Covenant",2006
"314","Stay Alive",2006
"315","Beloved",1998
"316","The Gallows",2015
"317","The First Power",1990
"318","The Bye Bye Man",2017
"319","A Nightmare on Elm Street 5: The Dream Child",1989
"320","Darkness",2002
"321","Frankenstein",1994
"322","Friday the 13th: A New Beginning",1985
"323","Hellboy",2019
"324","Friday the 13th: Part 2",1981
"325","Overlord",2018
"326","Urban Legends: Final Cut",2000
"327","Psycho",1998
"328","The Darkest Hour",2011
"329","When a Stranger Calls",1979
"330","The Fog",1980
"331","Raising Cain",1992
"332","The Black Cauldron",1985
"333","Cujo",1983
"334","Christine",1983
"335","As Above, So Below",2014
"336","Cabin Fever",2002
"337","Stir of Echoes",1999
"338","47 Meters Down: Uncaged",2019
"339","Tales from the Crypt: Demon Knight",1995
"340","Creepshow",1982
"341","The X Files: I Want to Believe",2008
"342","The Hills Have Eyes 2",2007
"343","Blair Witch",2016
"344","The Dead Zone",1983
"345","Jaws: The Revenge",1987
"346","Land of the Dead",2005
"347","The Final Conflict",1981
"348","Valentine",2001
"349","Pulse",2006
"350","Vampires",1998
"351","Dracula",1979
"352","The Fly II",1989
"353","Altered States",1980
"354","Vampire in Brooklyn",1995
"355","The Serpent and the Rainbow",1988
"356","Friday the 13th Part VI: Jason Lives",1986
"357","House",1985
"358","Vacancy",2007
"359","Cursed",2005
"360","Willard",1971
"361","Friday the 13th Part VII: The New Blood",1988
"362","Species II",1998
"363","The Seventh Sign",1988
"364","Shark Night 3D",2011
"365","The Believers",1987
"366","You're Next",2011
"367","Prophecy",1979
"368","Paranormal Activity: The Ghost Dimension",2015
"369","Fright Night",2011
"370","Chernobyl Diaries",2012
"371","Wes Craven's New Nightmare",1994
"372","The Howling",1981
"373","Mother!",2017
"374","Halloween 4: The Return of Michael Myers",1988
"375","The Rage: Carrie 2",1999
"376","Apollo 18",2011
"377","Hostel: Part II",2007
"378","Wait Until Dark",1967
"379","Silent Hill: Revelation",2012
"380","The Curse of Frankenstein",1957
"381","The Ruins",2008
"382","Dark Skies",2013
"383","Disturbing Behavior",1998
"384","Eight Legged Freaks",2002
"385","Brightburn",2019
"386","Angel Heart",1987
"387","Diabolique",1996
"388","Pet Sematary II",1992
"389","Seed of Chucky",2004
"390","The Devil's Rejects",2005
"391","The Guardian",1990
"392","Kingdom of the Spiders",1977
"393","Splice",2009
"394","The Thing",2011
"395","Flatliners",2017
"396","Dead Silence",2007
"397","Lost Souls",2000
"398","The Frighteners",1996
"399","Hellraiser: Bloodline",1996
"400","Tremors",1990
"401","Buffy the Vampire Slayer",1992
"402","Shocker",1989
"403","Tales from the Darkside: The Movie",1990
"404","An American Haunting",2005
"405","Black Christmas",2006
"406","Jennifer's Body",2009
"407","Wolf Creek",2005
"408","The Prophecy",1995
"409","Jason Goes to Hell: The Final Friday",1993
"410","Devil's Due",2014
"411","Wishmaster",1997
"412","The Island",1980
"413","Leviathan",1989
"414","Killer Klowns from Outer Space",1988
"415","Wrong Turn",2003
"416","Needful Things",1993
"417","The Last Exorcism Part II",2013
"418","Thinner",1996
"419","Halloween: The Curse of Michael Myers",1995
"420","Firestarter",1984
"421","See No Evil",2006
"422","The Cave",2005
"423","Child's Play 3",1991
"424","The Prodigy",2019
"425","The Possession of Hannah Grace",2018
"426","Prom Night",1980
"427","Orca",1977
"428","It Follows",2014
"429","My Soul to Take",2010
"430","Children of the Corn",1984
"431","Hellraiser",1987
"432","The Vanishing",1993
"433","Psycho III",1986
"434","Night of the Comet",1984
"435","Halloween III: Season of the Witch",1982
"436","Godsend",2004
"437","Friday the 13th Part VIII: Jason Takes Manhattan",1989
"438","Wish Upon",2017
"439","The Return of the Living Dead",1985
"440","Scanners",1981
"441","Supernova",2000
"442","Prince of Darkness",1987
"443","Poltergeist III",1988
"444","Virus",1999
"445","Creepshow 2",1987
"446","It Comes At Night",2017
"447","Candyman: Farewell to the Flesh",1995
"448","The Thing",1982
"449","The Pagemaster",1994
"450","Shaun of the Dead",2004
"451","The Gate",1987
"452","The Haunting of Molly Hartley",2008
"453","Lord of Illusions",1995
"454","The Entity",1982
"455","Visiting Hours",1982
"456","Case 39",2009
"457","Feardotcom",2002
"458","Critters",1986
"459","Jason X",2001
"460","Cat's Eye",1985
"461","They Live",1988
"462","Man's Best Friend",1993
"463","April Fool's Day",1986
"464","The Collection",2012
"465","They",2002
"466","Race with the Devil",1975
"467","House of 1000 Corpses",2003
"468","Silent House",2011
"469","Hellraiser III: Hell on Earth",1992
"470","Amityville II: The Possession",1982
"471","Hideaway",1995
"472","Let Me In",2010
"473","The Gift",2000
"474","Phantasm",1979
"475","Upgrade",2018
"476","Sorority Row",2009
"477","Tales from the Hood",1995
"478","Halloween 5: The Revenge of Michael Myers",1989
"479","Lifeforce",1985
"480","Graveyard Shift",1990
"481","Army of Darkness",1992
"482","Dreamscape",1984
"483","The Birds",1963
"484","Brotherhood of the Wolf",2001
