"","titles","years"
"1","The Lion King",2019
"2","Beauty and the Beast",2017
"3","The Lion King",1994
"4","Frozen",2013
"5","Aladdin",2019
"6","Sing",2016
"7","Moana",2016
"8","Beauty and the Beast",1991
"9","Aladdin",1992
"10","The Lorax",2012
"11","Charlie and the Chocolate Factory",2005
"12","Tangled",2010
"13","Happy Feet",2006
"14","Grease",1978
"15","Snow White and the Seven Dwarfs",1937
"16","The Polar Express",2004
"17","The Greatest Showman",2017
"18","Mary Poppins Returns",2018
"19","Chicago",2002
"20","The Sound of Music",1965
"21","Trolls",2016
"22","La La Land",2016
"23","Les Misérables",2012
"24","Mamma Mia!",2008
"25","Rio",2011
"26","The Jungle Book",1967
"27","Pocahontas",1995
"28","The Rocky Horror Picture Show",1975
"29","Rio 2",2014
"30","Into the Woods",2014
"31","Enchanted",2007
"32","Mamma Mia! Here We Go Again",2018
"33","Mulan",1998
"34","Hairspray",2007
"35","The Little Mermaid",1989
"36","The Lego Movie 2: The Second Part",2019
"37","The Princess and the Frog",2009
"38","Dreamgirls",2006
"39","Mary Poppins",1964
"40","The Prince of Egypt",1998
"41","The Rugrats Movie",1998
"42","The Hunchback of Notre Dame",1996
"43","Hercules",1997
"44","Rocketman",2019
"45","High School Musical 3",2008
"46","The Muppets",2011
"47","Peter Pan",1953
"48","Annie",2014
"49","Cinderella",1950
"50","Pinocchio",1940
"51","Smallfoot",2018
"52","Fiddler on the Roof",1971
"53","The Muppet Movie",1979
"54","The Nightmare Before Christmas",1993
"55","Oliver & Company",1988
"56","Yesterday",2019
"57","My Fair Lady",1964
"58","The Best Little Whorehouse in Texas",1982
"59","Purple Rain",1984
"60","Happy Feet Two",2011
"61","Song of the South",1946
"62","Funny Girl",1968
"63","Anastasia",1997
"64","Moulin Rouge!",2001
"65","The Blues Brothers",1980
"66","Annie",1982
"67","Corpse Bride",2005
"68","Sweeney Todd: The Demon Barber of Fleet Street",2007
"69","South Park: Bigger, Longer & Uncut",1999
"70","Sleeping Beauty",1959
"71","Hoodwinked!",2005
"72","The Phantom of the Opera",2004
"73","Muppets Most Wanted",2014
"74","The Book of Life",2014
"75","Evita",1996
"76","Popeye",1980
"77","The Jungle Book 2",2003
"78","An American Tail",1986
"79","Jersey Boys",2014
"80","The Tigger Movie",2000
"81","West Side Story",1961
"82","Cabaret",1972
"83","Yentl",1983
"84","Pete's Dragon",1977
"85","Funny Lady",1975
"86","Burlesque",2010
"87","Rugrats Go Wild",2003
"88","Little Shop of Horrors",1986
"89","The Great Mouse Detective",1986
"90","Rock of Ages",2012
"91","All That Jazz",1979
"92","The AristoCats",1970
"93","Robin Hood: Men in Tights",1993
"94","A Goofy Movie",1995
"95","Thoroughly Modern Millie",1967
"96","Tommy",1975
"97","Muppet Treasure Island",1996
"98","Paint Your Wagon",1969
"99","The Great Muppet Caper",1981
