"","titles","years"
"1","Titanic",1997
"2","Beauty and the Beast",2017
"3","Shrek 2",2004
"4","Aladdin",2019
"5","Forrest Gump",1994
"6","The Twilight Saga: Eclipse",2010
"7","The Twilight Saga: New Moon",2009
"8","The Twilight Saga: Breaking Dawn - Part 2",2012
"9","The Twilight Saga: Breaking Dawn - Part 1",2011
"10","Meet the Fockers",2004
"11","My Big Fat Greek Wedding",2002
"12","Maleficent",2014
"13","Shrek Forever After",2010
"14","Cast Away",2000
"15","Beauty and the Beast",1991
"16","King Kong",2005
"17","Ghost",1990
"18","Aladdin",1992
"19","A Star Is Born",2018
"20","Wedding Crashers",2005
"21","Cinderella",2015
"22","Tangled",2010
"23","Gone with the Wind",1939
"24","Pearl Harbor",2001
"25","Happy Feet",2006
"26","Twilight",2008
"27","Grease",1978
"28","Snow White and the Seven Dwarfs",1937
"29","What Women Want",2000
"30","Hitch",2005
"31","Pretty Woman",1990
"32","Tootsie",1982
"33","There's Something About Mary",1998
"34","Crazy Rich Asians",2018
"35","Elf",2003
"36","Tarzan",1999
"37","Bridesmaids",2011
"38","Meet the Parents",2000
"39","Fifty Shades of Grey",2015
"40","Robin Hood: Prince of Thieves",1991
"41","The Proposal",2009
"42","The Sound of Music",1965
"43","Jerry Maguire",1996
"44","Sex and the City",2008
"45","Runaway Bride",1999
"46","La La Land",2016
"47","Les Misérables",2012
"48","Knocked Up",2007
"49","As Good as It Gets",1997
"50","Little Fockers",2010
"51","The Great Gatsby",2013
"52","Mamma Mia!",2008
"53","Pocahontas",1995
"54","Slumdog Millionaire",2008
"55","Deep Impact",1998
"56","Good Will Hunting",1997
"57","Click",2006
"58","Patch Adams",1998
"59","Silver Linings Playbook",2012
"60","An Officer and a Gentleman",1982
"61","The Nutty Professor",1996
"62","Coming to America",1988
"63","Crouching Tiger, Hidden Dragon",2000
"64","Enchanted",2007
"65","The Curious Case of Benjamin Button",2008
"66","Sweet Home Alabama",2002
"67","My Best Friend's Wedding",1997
"68","The Legend of Tarzan",2016
"69","Sleepless in Seattle",1993
"70","Mr. Deeds",2002
"71","The Vow",2012
"72","The Fault in Our Stars",2014
"73","Something's Gotta Give",2003
"74","Nutty Professor II: The Klumps",2000
"75","The Bodyguard",1992
"76","50 First Dates",2004
"77","Mamma Mia! Here We Go Again",2018
"78","Four Christmases",2008
"79","I Now Pronounce You Chuck & Larry",2007
"80","Walk the Line",2005
"81","Hairspray",2007
"82","The Break-Up",2006
"83","Notting Hill",1999
"84","You've Got Mail",1998
"85","The Karate Kid Part II",1986
"86","Big",1988
"87","Fifty Shades Darker",2017
"88","It's Complicated",2009
"89","Doctor Zhivago",1965
"90","The Little Mermaid",1989
"91","Valentine's Day",2010
"92","Freaky Friday",2003
"93","Trainwreck",2015
"94","Bedtime Stories",2008
"95","The 40-Year-Old Virgin",2005
"96","The Princess Diaries",2001
"97","Miss Congeniality",2000
"98","Indecent Proposal",1993
"99","Love Story",1970
"100","How to Lose a Guy in 10 Days",2003
"101","Robin Hood",2010
"102","George of the Jungle",1997
"103","The Graduate",1967
"104","Phenomenon",1996
"105","The Princess and the Frog",2009
"106","Dick Tracy",1990
"107","Just Go with It",2011
"108","The Goodbye Girl",1977
"109","Noah",2014
"110","Vanilla Sky",2001
"111","Fifty Shades Freed",2018
"112","Shakespeare in Love",1998
"113","Bad Teacher",2011
"114","The Hunchback of Notre Dame",1996
"115","Passengers",2016
"116","Gnomeo & Juliet",2011
"117","Hercules",1997
"118","Date Night",2010
"119","Yes Man",2008
"120","Legally Blonde",2001
"121","Norbit",2007
"122","Cold Mountain",2003
"123","Arthur",1981
"124","Sex and the City 2",2010
"125","The Princess Diaries 2: Royal Engagement",2004
"126","Flashdance",1983
"127","Beverly Hills Chihuahua",2008
"128","Julie & Julia",2009
"129","The Mask of Zorro",1998
"130","Maid in Manhattan",2002
"131","He's Just Not That Into You",2009
"132","America's Sweethearts",2001
"133","Lady and the Tramp",1955
"134","Two Weeks Notice",2002
"135","When Harry Met Sally...",1989
"136","Think Like a Man",2012
"137","Back to School",1986
"138","Save the Last Dance",2001
"139","High School Musical 3",2008
"140","Father of the Bride",1991
"141","The Ugly Truth",2009
"142","Failure to Launch",2006
"143","Along Came Polly",2004
"144","Entrapment",1999
"145","Out of Africa",1985
"146","The War of the Roses",1989
"147","Cinderella",1950
"148","Tammy",2014
"149","Crazy, Stupid, Love.",2011
"150","The Other Woman",2014
"151","Up in the Air",2009
"152","Steel Magnolias",1989
"153","Immortals",2011
"154","Brokeback Mountain",2005
"155","Monster-in-Law",2005
"156","Are We There Yet?",2005
"157","Heaven Can Wait",1978
"158","While You Were Sleeping",1995
"159","The Notebook",2004
"160","Moonstruck",1987
"161","Eat Pray Love",2010
"162","Fiddler on the Roof",1971
"163","Zookeeper",2011
"164","What Happens in Vegas",2008
"165","The Wedding Singer",1998
"166","Footloose",1984
"167","Dear John",2010
"168","A Star Is Born",1976
"169","Hannah Montana: The Movie",2009
"170","City of Angels",1998
"171","The English Patient",1996
"172","Cocktail",1988
"173","The Terminal",2004
"174","27 Dresses",2008
"175","Father of the Bride Part II",1995
"176","Romancing the Stone",1984
"177","Rugrats in Paris: The Movie",2000
"178","The Jewel of the Nile",1985
"179","The Family Man",2000
"180","You, Me and Dupree",2006
"181","The Last of the Mohicans",1992
"182","The Horse Whisperer",1998
"183","10",1979
"184","The Prince of Tides",1991
"185","Six Days Seven Nights",1998
"186","Yesterday",2019
"187","My Fair Lady",1964
"188","Three Men and a Little Lady",1990
"189","Bridget Jones's Diary",2001
"190","The Bridges of Madison County",1995
"191","Chocolat",2000
"192","Sideways",2004
"193","I Love You, Man",2009
"194","Safe Haven",2013
"195","Groundhog Day",1993
"196","Shallow Hal",2001
"197","No Strings Attached",2011
"198","Fool's Gold",2008
"199","Grumpy Old Men",1993
"200","Boomerang",1992
"201","Grumpier Old Men",1995
"202","Nine Months",1995
"203","The Thomas Crown Affair",1999
"204","Guess Who",2005
"205","Witness",1985
"206","Book Club",2018
"207","Purple Rain",1984
"208","Bring It On",2000
"209","Obsessed",2009
"210","The Tourist",2010
"211","This Is 40",2012
"212","The Bounty Hunter",2010
"213","Waiting to Exhale",1995
"214","The Secret of My Success",1987
"215","The Mexican",2001
"216","Legends of the Fall",1994
"217","Warm Bodies",2013
"218","The Parent Trap",1998
"219","Big Fish",2003
"220","Herbie Fully Loaded",2005
"221","Ever After: A Cinderella Story",1998
"222","Deuce Bigalow: Male Gigolo",1999
"223","Step Up",2006
"224","Think Like a Man Too",2014
"225","Wolf",1994
"226","Pitch Perfect",2012
"227","The American President",1995
"228","Staying Alive",1983
"229","Ice Age: Collision Course",2016
"230","Working Girl",1988
"231","The Shape of Water",2017
"232","In & Out",1997
"233","Hope Springs",2012
"234","Risky Business",1983
"235","The Time Traveler's Wife",2009
"236","She's All That",1999
"237","Dave",1993
"238","Madea's Family Reunion",2006
"239","The Holiday",2006
"240","Forgetting Sarah Marshall",2008
"241","The Last Song",2010
"242","The Crying Game",1992
"243","The Adjustment Bureau",2011
"244","Bewitched",2005
"245","Splash",1984
"246","The Electric Horseman",1979
"247","Cinderella Man",2005
"248","Stomp the Yard",2007
"249","The Saint",1997
"250","Coyote Ugly",2000
"251","The Lucky One",2012
"252","The Wedding Planner",2001
"253","Scrooged",1988
"254","Baby Mama",2008
"255","Why Did I Get Married Too?",2010
"256","The Family Stone",2005
"257","Hope Floats",1998
"258","My Girl",1991
"259","Love, Actually",2003
"260","My Big Fat Greek Wedding 2",2016
"261","Far and Away",1992
"262","The Blue Lagoon",1980
"263","Bride Wars",2009
"264","Water for Elephants",2011
"265","Honey, I Blew Up the Kid",1992
"266","Sea of Love",1989
"267","HouseSitter",1992
"268","Funny Girl",1968
"269","Anastasia",1997
"270","Easy A",2010
"271","Open Range",2003
"272","The Secret Life of Walter Mitty",2013
"273","Step Up 2: The Streets",2008
"274","Shall We Dance",2004
"275","Cleopatra",1963
"276","Life Is Beautiful",1997
"277","The Cider House Rules",1999
"278","Memoirs of a Geisha",2005
"279","Moulin Rouge!",2001
"280","Willow",1988
"281","13 Going on 30",2004
"282","The Perfect Guy",2015
"283","Midnight in Paris",2011
"284","Clueless",1995
"285","A Knight's Tale",2001
"286","Drumline",2002
"287","Edward Scissorhands",1990
"288","Me Before You",2016
"289","Just Married",2003
"290","Be Cool",2005
"291","Forever Young",1992
"292","Friends with Benefits",2011
"293","What Dreams May Come",1998
"294","Never Been Kissed",1999
"295","Ghosts of Girlfriends Past",2009
"296","The Guardian",2006
"297","Doc Hollywood",1991
"298","This Means War",2012
"299","What Men Want",2019
"300","New Year's Eve",2011
"301","The Three Musketeers",1993
"302","Focus",2015
"303","Tin Cup",1996
"304","P.S. I Love You",2007
"305","Sabrina",1995
"306","Yours, Mine & Ours",2005
"307","Life as We Know It",2010
"308","Corpse Bride",2005
"309","Beethoven's 2nd",1993
"310","Urban Cowboy",1980
"311","Letters to Juliet",2010
"312","Forces of Nature",1999
"313","Varsity Blues",1999
"314","Message in a Bottle",1999
"315","Unfaithful",2002
"316","Four Weddings and a Funeral",1994
"317","Kicking & Screaming",2005
"318","A Madea Christmas",2013
"319","The Lake House",2006
"320","Footloose",2011
"321","The Little Rascals",1994
"322","Sleeping Beauty",1959
"323","A Cinderella Story",2004
"324","The Phantom of the Opera",2004
"325","Broadcast News",1987
"326","Up Close & Personal",1996
"327","Atonement",2007
"328","Something to Talk About",1995
"329","Bull Durham",1988
"330","The Road to El Dorado",2000
"331","Diary of a Mad Black Woman",2005
"332","Music and Lyrics",2007
"333","If I Stay",2014
"334","Overboard",2018
"335","Serendipity",2001
"336","The Book of Life",2014
"337","Little Women",1994
"338","Sommersby",1993
"339","When a Man Loves a Woman",1994
"340","A Walk in the Clouds",1995
"341","Legal Eagles",1986
"342","Popeye",1980
"343","Australia",2008
"344","Homeward Bound II: Lost in San Francisco",1996
"345","This Christmas",2007
"346","I Feel Pretty",2018
"347","Isn't It Romantic",2019
"348","About Last Night",2014
"349","Speed 2: Cruise Control",1997
"350","Date Movie",2006
"351","Peter Pan",2003
"352","Just Like Heaven",2005
"353","The House Bunny",2008
"354","Malcolm X",1992
"355","Fat Albert",2004
"356","The Preacher's Wife",1996
"357","Agent Cody Banks",2003
"358","Dan in Real Life",2007
"359","Look Who's Talking Too",1990
"360","Kate & Leopold",2001
"361","Killers",2010
