"","titles","years"
"1","Star Wars: Episode VII - The Force Awakens",2015
"2","Avengers: Endgame",2019
"3","Avatar",2009
"4","Black Panther",2018
"5","Avengers: Infinity War",2018
"6","Jurassic World",2015
"7","The Avengers",2012
"8","Star Wars: Episode VIII - The Last Jedi",2017
"9","Incredibles 2",2018
"10","Rogue One: A Star Wars Story",2016
"11","Star Wars: Episode I - The Phantom Menace",1999
"12","Avengers: Age of Ultron",2015
"13","E.T. the Extra-Terrestrial",1982
"14","Captain Marvel",2019
"15","The Hunger Games: Catching Fire",2013
"16","Jurassic World: Fallen Kingdom",2018
"17","Wonder Woman",2017
"18","Iron Man Three",2013
"19","Captain America: Civil War",2016
"20","The Hunger Games",2012
"21","Spider-Man",2002
"22","Jurassic Park",1993
"23","Transformers: Revenge of the Fallen",2009
"24","Guardians of the Galaxy Vol. 2",2017
"25","Spider-Man: Far from Home",2019
"26","Star Wars: Episode III - Revenge of the Sith",2005
"27","Spider-Man 2",2004
"28","Despicable Me 2",2013
"29","Deadpool",2016
"30","Transformers: Dark of the Moon",2011
"31","The Hunger Games: Mockingjay - Part 1",2014
"32","Spider-Man 3",2007
"33","Minions",2015
"34","Aquaman",2018
"35","Spider-Man: Homecoming",2017
"36","Guardians of the Galaxy",2014
"37","Batman v Superman: Dawn of Justice",2016
"38","Suicide Squad",2016
"39","Deadpool 2",2018
"40","Star Wars: Episode IV - A New Hope",1977
"41","Transformers",2007
"42","Iron Man",2008
"43","Thor: Ragnarok",2017
"44","Iron Man 2",2010
"45","Star Wars: Episode II - Attack of the Clones",2002
"46","Star Wars: Episode VI - Return of the Jedi",1983
"47","Independence Day",1996
"48","Inception",2010
"49","Man of Steel",2013
"50","Star Wars: Episode V - The Empire Strikes Back",1980
"51","The Hunger Games: Mockingjay - Part 2",2015
"52","The Matrix Reloaded",2003
"53","Gravity",2013
"54","Despicable Me 3",2017
"55","The Amazing Spider-Man",2012
"56","Captain America: The Winter Soldier",2014
"57","Star Trek",2009
"58","I Am Legend",2007
"59","Men in Black",1997
"60","Transformers: Age of Extinction",2014
