"","titles","years"
"1","The Dark Knight",2008
"2","The Dark Knight Rises",2012
"3","The Hunger Games: Catching Fire",2013
"4","The Hunger Games",2012
"5","Jurassic Park",1993
"6","Furious 7",2015
"7","The Hunger Games: Mockingjay - Part 1",2014
"8","Skyfall",2012
"9","The Sixth Sense",1999
"10","Inception",2010
"11","The Hunger Games: Mockingjay - Part 2",2015
"12","The Twilight Saga: Breaking Dawn - Part 1",2011
"13","Gravity",2013
"14","Jaws",1975
"15","I Am Legend",2007
"16","Twister",1996
"17","Furious 6",2013
"18","Beverly Hills Cop",1984
"19","War of the Worlds",2005
"20","X-Men: Days of Future Past",2014
"21","Signs",2002
"22","The Bourne Ultimatum",2007
"23","Logan",2017
"24","Rush Hour 2",2001
"25","The Fate of the Furious",2017
"26","Mission: Impossible - Fallout",2018
"27","National Treasure: Book of Secrets",2007
"28","Ghost",1990
"29","The Da Vinci Code",2006
"30","Mission: Impossible II",2000
"31","X2: X-Men United",2003
"32","Venom",2018
"33","Fast Five",2011
"34","Mission: Impossible - Ghost Protocol",2011
"35","Sherlock Holmes",2009
"36","Batman Begins",2005
"37","The Mummy Returns",2001
"38","Armageddon",1998
"39","Godzilla",2014
"40","Spectre",2015
"41","Monsters vs. Aliens",2009
"42","Mission: Impossible - Rogue Nation",2015
"43","Joker",2019
"44","Dunkirk",2017
"45","Sherlock Holmes: A Game of Shadows",2011
"46","The Day After Tomorrow",2004
"47","Mr. & Mrs. Smith",2005
"48","The Fugitive",1993
"49","Ocean's Eleven",2001
"50","The Perfect Storm",2000
"51","Jurassic Park III",2001
"52","Mission: Impossible",1996
"53","Planet of the Apes",2001
"54","Rise of the Planet of the Apes",2011
"55","The Bourne Supremacy",2004
"56","Get Out",2017
"57","Us",2019
"58","National Treasure",2004
"59","Air Force One",1997
"60","John Wick: Chapter 3 - Parabellum",2019
"61","Quantum of Solace",2008
"62","Gone Girl",2014
"63","Casino Royale",2006
"64","Fifty Shades of Grey",2015
"65","Hannibal",2001
"66","Jason Bourne",2016
"67","Die Another Day",2002
"68","Halloween",2018
"69","Star Trek Beyond",2016
"70","The Firm",1993
"71","Fatal Attraction",1987
"72","What Lies Beneath",2000
"73","San Andreas",2015
"74","Fast & Furious",2009
"75","Mad Max: Fury Road",2015
"76","Beverly Hills Cop II",1987
